timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t,LEFT_MOTOR_RPM,RIGHT_MOTOR_RPM
1765224440049,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.111752,-0.108214,0.9852719999999999,-0.6300000000000001,0.35000000000000003,-0.14,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935023,0.0,0.0
1765224440117,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.111752,-0.108214,0.9852719999999999,-0.6300000000000001,0.35000000000000003,-0.14,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935091,0.0,0.0
1765224440216,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055876,-0.04819,0.9897859999999999,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935190,0.0,0.0
1765224440266,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055876,-0.04819,0.9897859999999999,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935240,0.0,0.0
1765224440283,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055876,-0.04819,0.9897859999999999,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935257,0.0,0.0
1765224440300,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055876,-0.04819,0.9897859999999999,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935274,0.0,0.0
1765224440333,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055876,-0.04819,0.9897859999999999,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935307,0.0,0.0
1765224440350,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048068,-0.049776,0.996008,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935324,0.0,0.0
1765224440383,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048068,-0.049776,0.996008,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935357,0.0,0.0
1765224440416,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048068,-0.049776,0.996008,-0.6300000000000001,0.42000000000000004,0.0,3.3,3.31,3.3,3.28,3.27,3.28,3.27,3.28,3.31,3.31,3.31,3.3,3.27,3.28,3.27,3.29,3.3,3.3,3.3,3.29,3.31,3.31,3.31,3.3,3.31,3.27,79.0,0.0,1.0,0.0,1.0,1.0,5935390,0.0,0.0
