index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
0,1782666859017,0,0,0
1,1782666859036,0,0,0
2,1782666859747,0,0,0
3,1782666860064,0,0,0
4,1782666861297,0,0,0
5,1782666861480,0,0,0
6,1782666863914,0,0,0
7,1782666865599,0,0,0
8,1782666865948,0,0,0
9,1782666866514,0,0,0
10,1782666866780,0,0,0
11,1782666867448,0,0,0
12,1782666867865,0,0,0
13,1782666868115,0,0,0
14,1782666868465,0,0,0
15,1782666868615,0,0,0
16,1782666869466,0,0,0
17,1782666869798,0,0,0
18,1782666870132,0,0,0
19,1782666871098,0,0,0
20,1782666871482,0,0,0
21,1782666871765,0,0,0
22,1782666872099,0,0,0
23,1782666872432,0,0,0
24,1782666872782,0,0,0
25,1782666873082,0,0,0
26,1782666873315,0,0,0
27,1782666874116,0,0,0
28,1782666874400,0,0,0
29,1782666874865,0,0,0
30,1782666875116,0,0,0
31,1782666876065,0,0,0
32,1782666876249,0,0,0
33,1782666876597,0,0,0
34,1782666876864,0,0,0
35,1782666880082,0,0,0
36,1782666880432,0,0,0
37,1782666880698,0,0,0
38,1782666881232,0,0,0
39,1782666881865,0,0,0
40,1782666882165,0,0,0
41,1782666882549,0,0,0
42,1782666882899,0,0,0
43,1782666883381,0,0,0
44,1782666885165,0,0,0
45,1782666885515,0,0,0
46,1782666886382,0,0,0
47,1782666887015,0,0,0
48,1782666887281,0,0,0
49,1782666887566,0,0,0
50,1782666887948,0,0,0
51,1782666888116,0,0,0
52,1782666888398,0,0,0
53,1782666888765,0,0,0
54,1782666889067,0,0,0
55,1782666889415,0,0,0
56,1782666889732,0,0,0
57,1782666890848,0,0,0
58,1782666892365,0,0,0
59,1782666892682,0,0,0
60,1782666892932,0,0,0
61,1782666894365,0,0,0
62,1782666895266,0,0,0
63,1782666902598,0,0,0
64,1782666902832,0,0,0
65,1782666903768,0,0,0
66,1782666904150,0,0,0
67,1782666904515,0,0,0
68,1782666905566,0,0,0
69,1782666909148,0,0,0
70,1782666909432,0,0,0
71,1782666909765,0,0,0
72,1782666910082,0,0,0
73,1782666911466,0,0,0
74,1782666911865,0,0,0
75,1782666912199,0,0,0
76,1782666912482,0,0,0
77,1782666912732,0,0,0
78,1782666913282,0,0,0
79,1782666913666,0,0,0
80,1782666913982,0,0,0
81,1782666917149,0,0,0
82,1782666917500,0,0,0
83,1782666919549,0,0,0
84,1782666922767,0,0,0
85,1782666923349,0,0,0
86,1782666923549,0,0,0
87,1782666923899,0,0,0
88,1782666924132,0,0,0
89,1782666924449,0,0,0
90,1782666925099,0,0,0
91,1782666925299,0,0,0
92,1782666925683,0,0,0
93,1782666929416,0,0,0
94,1782666929700,0,0,0
95,1782666931450,0,0,0
96,1782666931766,0,0,0
97,1782666932032,0,0,0
98,1782666933517,0,0,0
99,1782666933850,0,0,0
100,1782666934116,0,0,0
101,1782666934449,0,0,0
102,1782666934786,0,0,0
103,1782666935599,0,0,0
104,1782666935866,0,0,0
105,1782666936182,0,0,0
106,1782666936483,0,0,0
107,1782666936783,0,0,0
108,1782666937133,0,0,0
109,1782666937283,0,0,0
110,1782666937932,0,0,0
111,1782666938266,0,0,0
112,1782666938966,0,0,0
113,1782666940133,0,0,0
114,1782666941866,0,0,0
115,1782666944150,0,0,0
116,1782666944483,0,0,0
117,1782666947349,0,0,0
118,1782666947999,0,0,0
119,1782666948267,0,0,0
120,1782666948549,0,0,0
121,1782666949499,0,0,0
122,1782666949616,0,0,0
123,1782666950133,0,0,0
124,1782666950749,0,0,0
125,1782666951166,0,0,0
126,1782666951782,0,0,0
127,1782666952033,0,0,0
128,1782666952583,0,0,0
129,1782666952933,0,0,0
130,1782666956166,0,0,0
131,1782666956483,0,0,0
132,1782666956783,0,0,0
133,1782666957649,0,0,0
134,1782666957967,0,0,0
135,1782666958333,0,0,0
136,1782666959534,0,0,0
137,1782666959816,0,0,0
138,1782666960383,0,0,0
