index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
0,1765220698748,0,0,0,0,0,0,0,0
1,1765220699116,0,0,0,0,0,0,0,0
2,1765220699398,0,0,0,0,0,0,0,0
3,1765220699680,0,0,0,0,0,0,0,0
4,1765220699750,0,0,0,0,0,0,0,0
5,1765220700031,0,0,0,0,0,0,0,0
6,1765220700315,0,0,0,0,0,0,0,0
7,1765220700382,0,0,0,0,0,0,0,0
8,1765220700664,0,0,0,0,0,0,0,0
9,1765220700949,0,0,0,0,0,0,0,0
10,1765220701300,0,0,0,0,0,0,0,0
11,1765220701598,0,0,0,0,0,0,0,0
12,1765220701915,0,0,0,0,0,0,0,0
13,1765220702182,0,0,0,0,0,0,0,0
14,1765220702498,0,0,0,0,0,0,0,0
15,1765220702782,0,0,0,0,0,0,0,0
16,1765220703081,0,0,0,0,0,0,0,0
17,1765220703382,0,0,0,0,0,0,0,0
18,1765220703665,0,0,0,0,0,0,0,0
19,1765220703965,0,0,0,0,0,0,0,0
20,1765220704249,0,0,0,0,0,0,0,0
21,1765220704582,0,0,0,0,0,0,0,0
22,1765220704849,0,0,0,0,0,0,0,0
23,1765220705132,0,0,0,0,0,0,0,0
24,1765220705448,0,0,0,0,0,0,0,0
25,1765220705732,0,0,0,0,0,0,0,0
26,1765220706049,0,0,0,0,0,0,0,0
27,1765220706332,0,0,0,0,0,0,0,0
28,1765220706599,0,0,0,0,0,0,0,0
29,1765220706915,0,0,0,0,0,0,0,0
30,1765220707198,0,0,0,0,0,0,0,0
31,1765220707515,0,0,0,0,0,0,0,0
32,1765220707799,0,0,0,0,0,0,0,0
33,1765220708116,0,0,0,0,0,0,0,0
34,1765220708382,0,0,0,0,0,0,0,0
35,1765220708682,0,0,0,0,0,0,0,0
36,1765220708998,0,0,0,0,0,0,0,0
37,1765220709282,0,0,0,0,0,0,0,0
38,1765220709581,0,0,0,0,0,0,0,0
39,1765220709865,0,0,0,0,0,0,0,0
40,1765220710181,0,0,0,0,0,0,0,0
41,1765220710465,0,0,0,0,0,0,0,0
42,1765220710764,0,0,0,0,0,0,0,0
43,1765220711065,0,0,0,0,0,0,0,0
44,1765220711348,0,0,0,0,0,0,0,0
45,1765220711665,0,0,0,0,0,0,0,0
46,1765220711948,0,0,0,0,0,0,0,0
47,1765220712215,0,0,0,0,0,0,0,0
48,1765220712249,0,0,0,0,0,0,0,0
49,1765220712532,0,0,0,0,0,0,0,0
50,1765220712816,0,0,0,0,0,0,0,0
51,1765220713132,0,0,0,0,0,0,0,0
52,1765220713415,0,0,0,0,0,0,0,0
53,1765220713732,0,0,0,0,0,0,0,0
54,1765220713998,0,0,0,0,0,0,0,0
55,1765220714282,0,0,0,0,0,0,0,0
56,1765220714598,0,0,0,0,0,0,0,0
57,1765220714882,0,0,0,0,0,0,0,0
58,1765220715199,0,0,0,0,0,0,0,0
59,1765220715465,0,0,0,0,0,0,0,0
60,1765220715765,0,0,0,0,0,0,0,0
61,1765220715799,0,0,0,0,0,0,0,0
62,1765220716082,0,0,0,0,0,0,0,0
63,1765220716348,0,0,0,0,0,0,0,0
64,1765220716665,0,0,0,0,0,0,0,0
65,1765220716948,0,0,0,0,0,0,0,0
66,1765220717265,0,0,0,0,0,0,0,0
67,1765220717549,0,0,0,0,0,0,0,0
