index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
0,1765220698566,0,0,0,0,0,0,0,0
1,1765220698865,0,0,0,0,0,0,0,0
2,1765220699216,0,0,0,0,0,0,0,0
3,1765220699498,0,0,0,0,0,0,0,0
4,1765220699848,0,0,0,0,0,0,0,0
5,1765220700131,0,0,0,0,0,0,0,0
6,1765220700483,0,0,0,0,0,0,0,0
7,1765220700765,0,0,0,0,0,0,0,0
8,1765220701098,0,0,0,0,0,0,0,0
9,1765220701398,0,0,0,0,0,0,0,0
10,1765220701682,0,0,0,0,0,0,0,0
11,1765220701999,0,0,0,0,0,0,0,0
12,1765220702282,0,0,0,0,0,0,0,0
13,1765220702582,0,0,0,0,0,0,0,0
14,1765220702865,0,0,0,0,0,0,0,0
15,1765220703182,0,0,0,0,0,0,0,0
16,1765220703465,0,0,0,0,0,0,0,0
17,1765220703748,0,0,0,0,0,0,0,0
18,1765220704065,0,0,0,0,0,0,0,0
19,1765220704349,0,0,0,0,0,0,0,0
20,1765220704666,0,0,0,0,0,0,0,0
21,1765220704949,0,0,0,0,0,0,0,0
22,1765220705231,0,0,0,0,0,0,0,0
23,1765220705265,0,0,0,0,0,0,0,0
24,1765220705550,0,0,0,0,0,0,0,0
25,1765220705815,0,0,0,0,0,0,0,0
26,1765220706132,0,0,0,0,0,0,0,0
27,1765220706415,0,0,0,0,0,0,0,0
28,1765220706732,0,0,0,0,0,0,0,0
29,1765220707015,0,0,0,0,0,0,0,0
30,1765220707282,0,0,0,0,0,0,0,0
31,1765220707598,0,0,0,0,0,0,0,0
32,1765220707898,0,0,0,0,0,0,0,0
33,1765220708215,0,0,0,0,0,0,0,0
34,1765220708482,0,0,0,0,0,0,0,0
35,1765220708798,0,0,0,0,0,0,0,0
36,1765220709081,0,0,0,0,0,0,0,0
37,1765220709365,0,0,0,0,0,0,0,0
38,1765220709681,0,0,0,0,0,0,0,0
39,1765220709965,0,0,0,0,0,0,0,0
40,1765220710282,0,0,0,0,0,0,0,0
41,1765220710549,0,0,0,0,0,0,0,0
42,1765220710882,0,0,0,0,0,0,0,0
43,1765220711164,0,0,0,0,0,0,0,0
44,1765220711431,0,0,0,0,0,0,0,0
45,1765220711748,0,0,0,0,0,0,0,0
46,1765220712032,0,0,0,0,0,0,0,0
47,1765220712350,0,0,0,0,0,0,0,0
48,1765220712632,0,0,0,0,0,0,0,0
49,1765220712898,0,0,0,0,0,0,0,0
50,1765220712948,0,0,0,0,0,0,0,0
51,1765220713232,0,0,0,0,0,0,0,0
52,1765220713498,0,0,0,0,0,0,0,0
53,1765220713815,0,0,0,0,0,0,0,0
54,1765220714115,0,0,0,0,0,0,0,0
55,1765220714399,0,0,0,0,0,0,0,0
56,1765220714681,0,0,0,0,0,0,0,0
57,1765220714982,0,0,0,0,0,0,0,0
58,1765220715298,0,0,0,0,0,0,0,0
59,1765220715580,0,0,0,0,0,0,0,0
60,1765220715881,0,0,0,0,0,0,0,0
61,1765220716148,0,0,0,0,0,0,0,0
62,1765220716482,0,0,0,0,0,0,0,0
63,1765220716765,0,0,0,0,0,0,0,0
64,1765220717032,0,0,0,0,0,0,0,0
65,1765220717350,0,0,0,0,0,0,0,0
66,1765220717630,0,0,0,0,0,0,0,0
67,1765220717931,0,0,0,0,0,0,0,0
68,1765220718215,0,0,0,0,0,0,0,0
69,1765220718499,0,0,0,0,0,0,0,0
70,1765220718816,0,0,0,0,0,0,0,0
71,1765220719098,0,0,0,0,0,0,0,0
72,1765220719482,0,0,0,0,0,0,0,0
73,1765220719781,0,0,0,0,0,0,0,0
74,1765220719932,0,0,0,0,0,0,0,0
75,1765220720231,0,0,0,0,0,0,0,0
76,1765220720682,0,0,0,0,0,0,0,0
77,1765220720948,0,0,0,0,0,0,0,0
78,1765220721098,0,0,0,0,0,0,0,0
79,1765220721415,0,0,0,0,0,0,0,0
80,1765220721864,0,0,0,0,0,0,0,0
81,1765220722182,0,0,0,0,0,0,0,0
82,1765220722332,0,0,0,0,0,0,0,0
83,1765220722599,0,0,0,0,0,0,0,0
84,1765220723066,0,0,0,0,0,0,0,0
85,1765220723365,0,0,0,0,0,0,0,0
86,1765220723498,0,0,0,0,0,0,0,0
87,1765220723782,0,0,0,0,0,0,0,0
88,1765220724116,0,0,0,0,0,0,0,0
89,1765220724249,0,0,0,0,0,0,0,0
90,1765220724531,0,0,0,0,0,0,0,0
91,1765220725015,0,0,0,0,0,0,0,0
92,1765220725297,0,0,0,0,0,0,0,0
93,1765220725432,0,0,0,0,0,0,0,0
94,1765220725768,0,0,0,0,0,0,0,0
95,1765220726181,0,0,0,0,0,0,0,0
96,1765220726483,0,0,0,0,0,0,0,0
