index,date,SLACE_1,SLAVE_2,SLAVE_3,SLAVE_4,1,2,3,4
0,1765220721181,0,0,0,0,0,0,0,0
1,1765220723048,0,0,0,0,0,0,0,0
2,1765220724632,0,0,0,0,0,0,0,0
3,1765220728732,0,0,0,0,0,0,0,0
4,1765220736483,0,0,0,0,0,0,0,0
5,1765220740132,0,0,0,0,0,0,0,0
6,1765220741916,0,0,0,0,0,0,0,0
7,1765220743781,0,0,0,0,0,0,0,0
8,1765220745549,0,0,0,0,0,0,0,0
9,1765220747415,0,0,0,0,0,0,0,0
10,1765220750849,0,0,0,0,0,0,0,0
11,1765220756315,0,0,0,0,0,0,0,0
12,1765220756531,0,0,0,0,0,0,0,0
13,1765220758065,0,0,0,0,0,0,0,0
14,1765220761781,0,0,0,0,0,0,0,0
15,1765220765998,0,0,0,0,0,0,0,0
16,1765220767648,0,0,0,0,0,0,0,0
17,1765220771681,0,0,0,0,0,0,0,0
18,1765220775281,0,0,0,0,0,0,0,0
19,1765220778882,0,0,0,0,0,0,0,0
20,1765220780666,0,0,0,0,0,0,0,0
21,1765220782281,0,0,0,0,0,0,0,0
22,1765220782431,0,0,0,0,0,0,0,0
23,1765220785914,0,0,0,0,0,0,0,0
24,1765220791330,0,0,0,0,0,0,0,0
25,1765220794980,0,0,0,0,0,0,0,0
26,1765220807448,0,0,0,0,0,0,0,0
27,1765220809064,0,0,0,0,0,0,0,0
28,1765220817581,0,0,0,0,0,0,0,0
29,1765220819147,0,0,0,0,0,0,0,0
30,1765220830980,0,0,0,0,0,0,0,0
31,1765220840064,0,0,0,0,0,0,0,0
32,1765220841612,0,0,0,0,0,0,0,0
33,1765220845048,0,0,0,0,0,0,0,0
34,1765220850164,0,0,0,0,0,0,0,0
35,1765220851881,0,0,0,0,0,0,0,0
36,1765220853481,0,0,0,0,0,0,0,0
37,1765220853614,0,0,0,0,0,0,0,0
38,1765220855165,0,0,0,0,0,0,0,0
39,1765220856930,0,0,0,0,0,0,0,0
40,1765220858680,0,0,0,0,0,0,0,0
41,1765220863747,0,0,0,0,0,0,0,0
42,1765220867397,0,0,0,0,0,0,0,0
43,1765220869281,0,0,0,0,0,0,0,0
44,1765220872897,0,0,0,0,0,0,0,0
45,1765220876364,0,0,0,0,0,0,0,0
46,1765220877995,0,0,0,0,0,0,0,0
47,1765220886231,0,0,0,0,0,0,0,0
48,1765220891446,0,0,0,0,0,0,0,0
49,1765220893029,0,0,0,0,0,0,0,0
50,1765220898129,0,0,0,0,0,0,0,0
51,1765220899947,0,0,0,0,0,0,0,0
52,1765220901764,0,0,0,0,0,0,0,0
53,1765220901995,0,0,0,0,0,0,0,0
54,1765220903830,0,0,0,0,0,0,0,0
55,1765220905697,0,0,0,0,0,0,0,0
56,1765220907513,0,0,0,0,0,0,0,0
57,1765220909296,0,0,0,0,0,0,0,0
58,1765220912613,0,0,0,0,0,0,0,0
59,1765220915928,0,0,0,0,0,0,0,0
60,1765220916113,0,0,0,0,0,0,0,0
61,1765220919446,0,0,0,0,0,0,0,0
62,1765220927730,0,0,0,0,0,0,0,0
