index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
0,1765220721232,2,0,4,0,1,0,73,8
1,1765220723114,2,0,4,0,1,0,73,8
2,1765220724665,2,0,4,0,1,0,73,8
3,1765220724866,2,0,4,0,1,0,73,8
4,1765220728749,2,0,4,0,1,0,73,8
5,1765220730682,2,0,4,0,1,0,73,8
6,1765220730932,2,0,4,0,1,0,73,8
7,1765220732582,2,0,4,0,1,0,73,8
8,1765220732783,2,0,4,0,1,0,73,8
9,1765220734698,2,0,4,0,1,0,73,8
10,1765220736566,2,0,4,0,1,0,73,8
11,1765220738349,2,0,4,0,1,0,73,8
12,1765220740231,2,0,4,0,1,0,73,8
13,1765220741981,2,0,4,0,1,0,73,8
14,1765220743850,2,0,4,0,1,0,73,8
15,1765220745631,2,0,4,0,1,0,73,8
16,1765220747482,2,0,4,0,1,0,73,8
17,1765220749299,2,0,4,0,1,0,73,8
18,1765220751065,2,0,4,0,1,0,73,8
19,1765220752699,2,0,4,0,1,0,73,8
20,1765220752915,2,0,4,0,1,0,73,8
21,1765220754481,2,0,4,0,1,0,73,8
22,1765220754665,2,0,4,0,1,0,73,8
23,1765220756582,2,0,4,0,1,0,73,8
24,1765220758132,2,0,4,0,1,0,73,8
25,1765220758331,2,0,4,0,1,0,73,8
26,1765220759980,2,0,4,0,1,0,73,8
27,1765220760164,2,0,4,0,1,0,73,8
28,1765220762047,2,0,4,0,1,0,73,8
29,1765220763898,2,0,4,0,1,0,73,8
30,1765220765849,2,0,4,0,1,0,73,8
31,1765220766048,2,0,4,0,1,0,73,8
32,1765220767731,2,0,4,0,1,0,73,8
33,1765220767931,2,0,4,0,1,0,73,8
34,1765220769832,2,0,4,0,1,0,73,8
35,1765220771731,2,0,4,0,1,0,73,8
36,1765220773449,2,0,4,0,1,0,73,8
37,1765220775331,2,0,4,0,1,0,73,8
38,1765220777114,2,0,4,0,1,0,73,8
39,1765220778915,2,0,4,0,1,0,73,8
40,1765220780531,2,0,4,0,1,0,73,8
41,1765220780715,2,0,4,0,1,0,73,8
42,1765220782332,2,0,4,0,1,0,73,8
43,1765220782498,2,0,4,0,1,0,73,8
44,1765220784381,2,0,4,0,1,0,73,8
45,1765220785931,2,0,4,0,1,0,73,8
46,1765220786147,2,0,4,0,1,0,73,8
47,1765220787815,2,0,4,0,1,0,73,8
48,1765220787965,2,0,4,0,1,0,73,8
49,1765220789579,2,0,4,0,1,0,73,8
50,1765220789764,2,0,4,0,1,0,73,8
51,1765220791397,2,0,4,0,1,0,73,8
52,1765220791563,2,0,4,0,1,0,73,8
53,1765220793231,2,0,4,0,1,0,73,8
54,1765220793431,2,0,4,0,1,0,73,8
55,1765220795047,2,0,4,0,1,0,73,8
56,1765220795232,2,0,4,0,1,0,73,8
57,1765221722503,2,0,4,0,1,0,236,127
58,1765221724370,2,0,4,0,1,0,20,128
