index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
1153,1765897042983,0,0,0,0,0,0,0,0
1154,1765897043140,0,0,0,0,0,0,0,0
1155,1765897044193,0,0,0,0,0,0,0,0
1156,1765897044352,0,0,0,0,0,0,0,0
1157,1765897045321,0,0,0,0,0,0,0,0
1158,1765897045321,0,0,0,0,0,0,0,0
1159,1765897045711,0,0,0,0,0,0,0,0
1160,1765897046523,0,0,0,0,0,0,0,0
1161,1765897046907,0,0,0,0,0,0,0,0
1162,1765897047358,0,0,0,0,0,0,0,0
1163,1765897047584,0,0,0,0,0,0,0,0
1164,1765897047959,0,0,0,0,0,0,0,0
1165,1765897048866,0,0,0,0,0,0,0,0
1166,1765897049497,0,0,0,0,0,0,0,0
1167,1765897049567,0,0,0,0,0,0,0,0
1168,1765897050318,0,0,0,0,0,0,0,0
1169,1765897051281,0,0,0,0,0,0,0,0
1170,1765897051900,0,0,0,0,0,0,0,0
1171,1765897052110,0,0,0,0,0,0,0,0
1172,1765897052376,0,0,0,0,0,0,0,0
1173,1765897052524,0,0,0,0,0,0,0,0
1174,1765897052735,0,0,0,0,0,0,0,0
1175,1765897053180,0,0,0,0,0,0,0,0
1176,1765897054380,0,0,0,0,0,0,0,0
1177,1765897055441,0,0,0,0,0,0,0,0
1178,1765897056497,0,0,0,0,0,0,0,0
1179,1765897057379,0,0,0,0,0,0,0,0
1180,1765897058152,0,0,0,0,0,0,0,0
1181,1765897058919,0,0,0,0,0,0,0,0
1182,1765897059505,0,0,0,0,0,0,0,0
1183,1765897060120,0,0,0,0,0,0,0,0
1184,1765897061484,0,0,0,0,0,0,0,0
1185,1765897061663,0,0,0,0,0,0,0,0
1186,1765897061775,0,0,0,0,0,0,0,0
1187,1765897063582,0,0,0,0,0,0,0,0
1188,1765897063650,0,0,0,0,0,0,0,0
1189,1765897064281,0,0,0,0,0,0,0,0
1190,1765897065114,0,0,0,0,0,0,0,0
1191,1765897066683,0,0,0,0,0,0,0,0
1192,1765897067540,0,0,0,0,0,0,0,0
1193,1765897067648,0,0,0,0,0,0,0,0
1194,1765897067831,0,0,0,0,0,0,0,0
1195,1765897068333,0,0,0,0,0,0,0,0
1196,1765897068732,0,0,0,0,0,0,0,0
1197,1765897068964,0,0,0,0,0,0,0,0
1198,1765897069192,0,0,0,0,0,0,0,0
1199,1765897069995,0,0,0,0,0,0,0,0
1200,1765897070248,0,0,0,0,0,0,0,0
1201,1765897070432,0,2304,0,0,0,0,0,0
1202,1765897071612,0,0,0,0,0,0,0,0
1203,1765897071723,0,0,0,0,0,0,0,0
1204,1765897072581,0,0,0,0,0,0,0,0
1205,1765897074146,0,0,0,0,0,0,0,0
1206,1765897074986,0,0,0,0,0,0,0,0
1207,1765897075132,0,0,0,0,0,0,0,0
1208,1765897075739,0,0,0,0,0,0,0,0
1209,1765897077100,0,0,0,0,0,0,0,0
1210,1765897078264,0,0,0,0,0,0,0,0
1211,1765897079677,0,0,0,0,0,0,0,0
1212,1765897080438,0,0,0,0,0,0,0,0
1213,1765897081235,0,0,0,0,0,0,0,0
1214,1765897081880,0,0,0,0,0,0,0,0
1215,1765897082779,0,0,0,0,0,0,0,0
1216,1765897082887,0,0,0,0,0,0,0,0
1217,1765897083669,0,0,0,0,0,0,0,0
1218,1765897083938,0,0,0,0,0,0,0,0
1219,1765897084165,0,0,0,0,0,0,0,0
1220,1765897084226,0,0,0,0,0,0,0,0
1221,1765897084927,0,0,0,0,0,0,0,0
1222,1765897085701,0,0,0,0,0,0,0,0
1223,1765897085884,0,0,0,0,0,0,0,0
1224,1765897086413,0,0,0,0,0,0,0,0
1225,1765897086980,0,0,0,0,0,0,0,0
1226,1765897087155,0,0,0,0,0,0,0,0
1227,1765897088471,0,0,0,0,0,0,0,0
1228,1765897089309,0,0,0,0,0,0,0,0
1229,1765897089309,0,0,0,0,0,0,0,0
1230,1765897089985,0,0,0,0,0,0,0,0
1231,1765897090550,0,0,0,0,0,0,0,0
1232,1765897092096,0,0,0,0,0,0,0,0
1233,1765897092156,0,0,0,0,0,0,0,0
1234,1765897093796,0,0,0,0,0,0,0,0
1235,1765897094552,0,0,0,0,0,0,0,0
1236,1765897095443,0,0,0,0,0,0,0,0
1237,1765897095538,0,0,0,0,0,0,0,0
1238,1765897097444,0,0,0,0,0,0,0,0
1239,1765897097787,0,0,0,0,0,0,0,0
1240,1765897098354,0,0,0,0,0,0,0,0
1241,1765897099392,0,0,0,0,0,0,0,0
1242,1765897099469,0,0,0,0,0,0,0,0
1243,1765897100214,0,0,0,0,0,0,0,0
1244,1765897100567,0,0,0,0,0,0,0,0
1245,1765897100601,0,0,0,0,0,0,0,0
1246,1765897101132,0,0,0,0,0,0,0,0
1247,1765897102229,0,0,0,0,0,0,0,0
1248,1765897102694,0,0,0,0,0,0,0,0
1249,1765897103454,0,0,0,0,0,0,0,0
1250,1765897104229,0,0,0,0,0,0,0,0
1251,1765897104313,0,0,0,0,0,0,0,0
1252,1765897105328,0,0,0,0,0,0,0,0
1253,1765897105795,0,0,0,0,0,0,0,0
1254,1765897106599,0,0,0,0,0,0,0,0
1255,1765897107184,0,0,0,0,0,0,0,0
1256,1765897107282,0,0,0,0,0,0,0,0
1257,1765897108008,0,0,0,0,0,0,0,0
1258,1765897108192,0,0,0,0,0,0,0,0
1259,1765897110087,0,0,9,0,0,0,0,0
1260,1765897110142,0,0,9,0,0,0,0,0
1261,1765897110575,0,0,9,0,0,0,0,0
1262,1765897111216,0,0,9,0,0,0,0,0
1263,1765897111216,0,0,9,0,0,0,0,0
1264,1765897111432,0,0,9,0,0,0,0,0
1265,1765897111986,0,0,64,0,0,0,0,0
1266,1765897112622,0,0,64,0,0,0,0,0
1267,1765897113092,0,0,64,0,0,0,0,0
1268,1765897113609,0,0,108,0,0,0,0,0
1269,1765897113725,0,0,108,0,0,0,0,0
1270,1765897114357,0,0,108,0,0,0,0,0
1271,1765897114988,0,0,108,0,0,0,0,0
1272,1765897115735,0,0,144,0,0,0,0,0
1273,1765897117310,0,0,144,0,0,0,0,0
1274,1765897117446,0,0,144,0,0,0,0,0
1275,1765897118107,0,0,173,0,0,0,0,0
1276,1765897118197,0,0,173,0,0,0,0,0
1277,1765897118847,0,0,173,0,0,0,0,0
1278,1765897120712,0,0,196,0,0,0,0,0
1279,1765897121278,0,0,196,0,0,0,0,0
1280,1765897121412,0,0,196,0,0,0,0,0
1281,1765897122149,0,0,215,24576,0,0,0,0
1282,1765897122196,0,0,215,0,0,0,0,0
1283,1765897122863,0,0,215,0,0,0,0,0
1284,1765897123696,0,0,230,0,0,0,0,0
1285,1765897124816,0,0,230,0,0,0,0,0
1286,1765897125478,0,0,230,0,0,0,0,0
1287,1765897125612,0,0,243,0,0,0,0,0
1288,1765897126049,0,0,243,0,0,0,0,0
1289,1765897126263,0,0,243,0,0,0,0,0
1290,1765897126545,0,0,243,0,0,0,0,0
1291,1765897126829,0,0,243,0,0,0,0,0
1292,1765897127362,0,0,243,0,0,0,0,0
1293,1765897127695,0,0,253,0,0,0,0,0
1294,1765897127946,0,0,253,0,0,0,0,0
1295,1765897128728,0,0,253,0,0,0,0,0
1296,1765897130112,0,0,261,0,0,0,0,0
1297,1765897131547,0,0,269,0,0,0,0,0
1298,1765897131948,0,0,269,0,0,0,0,0
1299,1765897132245,0,0,269,0,0,0,0,0
1300,1765897132379,0,0,269,0,0,0,0,0
1301,1765897133779,0,0,277,0,0,0,0,0
1302,1765897134897,0,0,277,0,0,0,0,0
1303,1765897136313,0,0,284,0,0,0,0,0
1304,1765897137679,0,0,290,0,0,0,0,0
1305,1765897137779,0,0,290,0,0,0,0,0
1306,1765897138662,0,0,290,0,0,0,0,0
1307,1765897139345,0,0,290,0,0,0,0,0
1308,1765897139429,0,0,290,0,0,0,0,0
1309,1765897140262,0,0,296,0,0,0,0,0
1310,1765897140895,0,0,296,0,0,0,0,0
1311,1765897141062,0,0,296,0,0,0,0,0
1312,1765897141846,0,0,301,0,0,0,0,0
1313,1765897141962,0,0,301,0,0,0,0,0
1314,1765897143314,0,0,301,0,0,0,0,0
1315,1765897143429,0,0,301,0,0,0,0,0
1316,1765897143645,0,0,305,0,0,0,0,0
1317,1765897144059,0,0,305,0,0,0,0,0
1318,1765897144996,0,0,305,0,0,0,0,0
1319,1765897144996,0,0,305,0,0,0,0,0
1320,1765897145262,0,0,305,0,0,0,0,0
1321,1765897145714,0,0,309,0,0,0,0,0
1322,1765897147212,0,0,309,0,0,0,0,0
1323,1765897147312,0,0,309,0,0,0,0,0
1324,1765897147765,0,0,313,0,0,0,0,0
1325,1765897148048,0,0,313,0,0,0,0,0
1326,1765897151363,0,0,315,0,0,0,0,0
1327,1765897152699,0,0,317,0,0,0,0,0
1328,1765897154095,0,0,319,0,0,0,0,0
1329,1765897154198,0,0,319,0,0,0,0,0
1330,1765897155066,0,0,319,0,0,0,0,0
1331,1765897155071,0,0,319,0,0,0,0,0
1332,1765897155311,0,0,319,0,0,0,0,0
1333,1765897155463,0,0,319,24576,0,0,0,0
1334,1765897155612,0,0,321,0,0,0,0,0
1335,1765897156928,0,0,321,0,0,0,0,0
1336,1765897157045,0,0,321,24576,0,0,0,0
1337,1765897158178,0,0,323,0,0,0,0,0
1338,1765897158347,0,0,323,0,0,0,0,0
1339,1765897158529,0,0,323,0,0,0,0,0
1340,1765897158712,0,0,323,0,0,0,0,0
1341,1765897158995,1536,0,323,0,0,0,0,0
1342,1765897159328,0,0,323,0,0,0,0,0
1343,1765897160628,0,0,325,0,0,0,0,0
1344,1765897161022,0,0,325,0,0,0,0,0
1345,1765897161616,0,0,325,0,0,0,0,0
1346,1765897162166,0,0,327,0,0,0,0,0
1347,1765897162290,0,0,327,0,0,0,0,0
1348,1765897163878,0,0,329,0,0,0,0,0
1349,1765897165444,0,0,329,0,0,0,0,0
1350,1765897165578,0,0,331,0,0,0,0,0
1351,1765897166043,0,0,331,0,0,0,0,0
1352,1765897166043,0,0,331,0,0,0,0,0
1353,1765897166279,0,0,331,0,0,0,0,0
1354,1765897167629,0,0,331,0,0,0,0,0
1355,1765897167762,0,0,333,0,0,0,0,0
1356,1765897169195,0,0,333,0,0,0,0,0
1357,1765897169778,0,0,333,0,0,0,0,0
1358,1765897171562,0,0,333,0,0,0,0,0
1359,1765897171662,0,0,333,0,0,0,0,0
1360,1765897173446,0,0,333,0,0,0,0,0
1361,1765897173694,0,0,335,0,0,0,0,0
1362,1765897174214,0,0,335,0,0,0,0,0
1363,1765897174730,0,0,335,0,0,0,0,0
1364,1765897175663,0,0,337,0,0,0,0,0
1365,1765897175812,0,0,337,0,0,0,0,0
1366,1765897175914,0,0,337,0,0,0,0,0
1367,1765897177232,0,0,337,0,0,0,0,0
1368,1765897178512,0,0,339,0,0,0,0,0
1369,1765897178546,0,0,339,0,0,0,0,0
1370,1765897179378,0,0,339,0,0,0,0,0
1371,1765897180861,0,0,341,0,0,0,0,0
1372,1765897182495,0,0,343,0,0,0,0,0
1373,1765897182678,0,0,343,0,0,0,0,0
1374,1765897182912,0,0,343,0,0,0,0,0
1375,1765897183111,0,0,343,0,0,0,0,0
1376,1765897184611,0,0,344,0,0,0,0,0
1377,1765897184777,0,0,344,0,0,0,0,0
1378,1765897186212,0,0,344,0,0,0,0,0
1379,1765897187678,0,0,344,0,0,0,0,0
1380,1765897188262,0,0,344,0,0,0,0,0
1381,1765897188460,0,0,344,0,0,0,0,0
1382,1765897188565,0,0,344,0,0,0,0,0
1383,1765897189028,0,0,344,0,0,0,0,0
1384,1765897189745,0,0,344,0,0,0,0,0
1385,1765897189894,0,0,344,0,0,0,0,0
1386,1765897190095,0,0,344,0,0,0,0,0
1387,1765897190695,0,0,344,0,0,0,0,0
1388,1765897190893,0,0,344,0,0,0,0,0
1389,1765897191179,0,0,344,0,0,0,0,0
1390,1765897191377,0,0,344,0,0,0,0,0
1391,1765897191479,0,0,344,0,0,0,0,0
1392,1765897192128,0,0,344,0,0,0,0,0
1393,1765897192248,0,0,344,0,0,0,0,0
1394,1765897193514,0,0,344,0,0,0,0,0
1395,1765897194979,0,0,344,0,0,0,0,0
1396,1765897195078,0,0,344,0,0,0,0,0
1397,1765897197110,0,0,345,0,0,0,0,0
1398,1765897197247,0,0,345,0,0,0,0,0
1399,1765897197395,0,0,345,0,0,0,0,0
1400,1765897199744,0,0,345,0,0,0,0,0
1401,1765897199811,0,0,345,0,0,0,0,0
1402,1765897200495,0,0,345,0,0,0,0,0
1403,1765897200579,0,0,345,0,0,0,0,0
1404,1765897200780,0,0,345,0,0,0,0,0
1405,1765897201061,0,0,345,0,0,0,0,0
1406,1765897201328,0,0,345,0,0,0,0,0
1407,1765897203036,0,0,345,0,0,0,0,0
1408,1765897204492,0,0,345,0,0,0,0,0
1409,1765897204627,0,0,345,0,0,0,0,0
1410,1765897204848,0,0,345,0,0,0,0,0
1411,1765897205100,0,0,345,0,0,0,0,0
1412,1765897205425,0,0,345,0,0,0,0,0
1413,1765897205613,0,0,346,0,0,0,0,0
1414,1765897206176,0,0,346,0,0,0,0,0
1415,1765897208372,0,0,348,0,0,0,0,0
1416,1765897208437,0,0,348,0,0,0,0,0
1417,1765897209120,0,0,348,0,0,0,0,0
1418,1765897209181,0,0,348,0,0,0,0,0
1419,1765897211546,0,0,350,0,0,0,0,0
1420,1765897211608,0,0,352,0,0,0,0,0
1421,1765897212048,0,0,352,0,0,0,0,0
1422,1765897212297,0,0,352,0,0,0,0,0
1423,1765897213815,0,0,354,0,0,0,0,0
1424,1765897214005,0,0,354,0,0,0,0,0
1425,1765897214756,0,0,354,0,0,0,0,0
1426,1765897214879,0,0,354,0,0,0,0,0
1427,1765897217357,0,14592,1380,25344,0,0,0,0
1428,1765897217483,0,0,356,0,0,0,0,0
1429,1765897219201,0,0,358,0,0,0,0,0
1430,1765897219465,0,0,358,0,0,0,0,0
1431,1765897219856,0,0,360,0,0,0,0,0
1432,1765897219986,0,0,360,0,0,0,0,0
1433,1765897221542,0,0,360,0,0,0,0,0
1434,1765897222059,0,0,362,0,0,0,0,0
1435,1765897224075,0,0,362,0,0,0,0,0
1436,1765897224844,0,0,362,0,0,0,0,0
1437,1765897225813,0,0,362,0,0,0,0,0
1438,1765897226128,0,0,362,0,0,0,0,0
1439,1765897226321,0,0,362,0,0,0,0,0
1440,1765897226521,0,0,362,0,0,0,0,0
1441,1765897226715,0,0,362,0,0,0,0,0
1442,1765897227163,0,0,362,0,0,0,0,0
1443,1765897227357,0,0,362,0,0,0,0,0
1444,1765897227549,0,0,362,0,0,0,0,0
1445,1765897227745,0,0,362,0,0,0,0,0
1446,1765897228189,0,0,362,0,0,0,0,0
1447,1765897228427,0,0,362,0,0,0,0,0
1448,1765897230012,0,0,362,0,0,0,0,0
1449,1765897231688,0,0,362,0,0,0,0,0
1450,1765897234812,0,0,362,0,0,0,0,0
1451,1765897235063,0,0,362,0,0,0,0,0
1452,1765897235287,0,0,362,0,0,0,0,0
1453,1765897235483,0,0,362,0,0,0,0,0
1454,1765897235683,0,0,362,0,0,0,0,0
1455,1765897235917,0,0,362,0,0,0,0,0
1456,1765897236371,0,0,362,0,0,0,0,0
1457,1765897236561,0,0,362,0,0,0,0,0
1458,1765897236748,0,0,362,0,0,0,0,0
1459,1765897236938,0,0,362,0,0,0,0,0
1460,1765897237128,1536,14592,1386,24576,0,0,0,0
1461,1765897237308,0,0,362,0,0,0,0,0
1462,1765897237579,0,0,362,0,0,0,0,0
1463,1765897237764,0,0,362,0,0,0,0,0
1464,1765897238055,0,0,362,0,0,0,0,0
1465,1765897238404,0,0,362,0,0,0,0,0
1466,1765897249033,0,0,362,0,0,0,0,0
1467,1765897249228,0,0,362,0,0,0,0,0
1468,1765897249426,0,0,362,0,0,0,0,0
1469,1765897249601,0,0,362,0,0,0,0,0
1470,1765897249811,0,0,362,0,0,0,0,0
1471,1765897249997,0,0,362,0,0,0,0,0
1472,1765897250218,0,0,362,0,0,0,0,0
1473,1765897252605,0,0,362,0,0,0,0,0
1474,1765897253026,0,0,362,0,0,0,0,0
1475,1765897255471,0,0,362,0,0,0,0,0
1476,1765897255910,0,0,362,0,0,0,0,0
1477,1765897257526,0,0,362,0,0,0,0,0
1478,1765897257875,0,0,362,0,0,0,0,0
1479,1765897259224,0,0,362,0,0,0,0,0
1480,1765897259660,0,0,362,0,0,0,0,0
1481,1765897259887,0,0,362,0,0,0,0,0
1482,1765897260111,0,0,362,0,0,0,0,0
1483,1765897263192,0,0,362,0,0,0,0,0
1484,1765897263697,0,0,362,0,0,0,0,0
1485,1765897263885,0,0,362,0,0,0,0,0
1486,1765897263984,0,0,362,0,0,0,0,0
1487,1765897264306,0,0,362,0,0,0,0,0
1488,1765897264512,0,0,362,0,0,0,0,0
1489,1765897264649,0,0,362,0,0,0,0,0
1490,1765897264864,0,0,362,0,0,0,0,0
1491,1765897265067,0,0,362,0,0,0,0,0
1492,1765897265339,0,0,362,0,0,0,0,0
1493,1765897265482,0,0,362,0,0,0,0,0
1494,1765897266064,0,0,362,0,0,0,0,0
1495,1765897266064,0,0,362,0,0,0,0,0
1496,1765897266132,0,0,362,0,0,0,0,0
1497,1765897266912,0,0,362,0,0,0,0,0
1498,1765897267690,0,0,362,0,0,0,0,0
1499,1765897276346,0,0,362,0,0,0,0,0
1500,1765897276484,0,0,362,0,0,0,0,0
1501,1765897277040,0,0,362,0,0,0,0,0
1502,1765897277041,0,0,362,0,0,0,0,0
1503,1765897277137,0,0,362,0,0,0,0,0
1504,1765897277341,0,0,362,0,0,0,0,0
1505,1765897277656,0,0,362,0,0,0,0,0
1506,1765897277856,0,0,362,0,0,0,0,0
1507,1765897278129,0,0,362,0,0,0,0,0
1508,1765897278268,0,0,362,0,0,0,0,0
1509,1765897278474,0,0,362,0,0,0,0,0
1510,1765897278690,0,0,362,0,0,0,0,0
1511,1765897278908,0,0,362,0,0,0,0,0
1512,1765897279133,0,0,362,0,0,0,0,0
1513,1765897279281,0,0,362,0,0,0,0,0
1514,1765897279581,0,0,362,0,0,0,0,0
1515,1765897279733,0,0,362,0,0,0,0,0
1516,1765897279952,0,0,362,0,0,0,0,0
1517,1765897280531,0,0,362,0,0,0,0,0
1518,1765897280749,0,0,362,0,0,0,0,0
1519,1765897280900,0,0,362,0,0,0,0,0
1520,1765897281125,0,0,362,0,0,0,0,0
1521,1765897281337,0,0,362,0,0,0,0,0
1522,1765897281554,0,0,362,0,0,0,0,0
1523,1765897281691,0,0,362,0,0,0,0,0
1524,1765897281906,0,0,362,0,0,0,0,0
1525,1765897282181,0,0,362,0,0,0,0,0
1526,1765897282400,0,0,362,0,0,0,0,0
1527,1765897282620,0,0,362,0,0,0,0,0
1528,1765897282763,0,0,362,0,0,0,0,0
1529,1765897283101,0,0,362,0,0,0,0,0
1530,1765897283245,0,0,362,0,0,0,0,0
1531,1765897283537,0,0,362,0,0,0,0,0
1532,1765897283731,0,0,362,0,0,0,0,0
1533,1765897283929,0,0,362,0,0,0,0,0
1534,1765897284132,0,0,362,0,0,0,0,0
1535,1765897284341,0,0,362,0,0,0,0,0
1536,1765897284630,0,0,362,0,0,0,0,0
1537,1765897284839,0,0,362,0,0,0,0,0
1538,1765897285112,0,0,362,0,0,0,0,0
1539,1765897286217,0,0,362,0,0,0,0,0
1540,1765897286424,0,0,362,0,0,0,0,0
1541,1765897286635,0,0,362,0,0,0,0,0
1542,1765897286839,0,0,362,0,0,0,0,0
1543,1765897287313,0,0,362,0,0,0,0,0
1544,1765897288082,0,0,362,0,0,0,0,0
1545,1765897288149,0,0,362,0,0,0,0,0
1546,1765897288149,0,0,362,0,0,0,0,0
1547,1765897288288,0,0,362,0,0,0,0,0
1548,1765897288488,0,0,362,0,0,0,0,0
1549,1765897288702,0,0,362,0,0,0,0,0
1550,1765897295556,0,0,362,0,0,0,0,0
1551,1765897296430,0,0,362,0,0,0,0,0
1552,1765897296699,0,0,362,0,0,0,0,0
1553,1765897297039,0,0,362,0,0,0,0,0
1554,1765897297319,0,0,362,0,0,0,0,0
1555,1765897297459,0,0,362,0,0,0,0,0
1556,1765897297797,0,0,362,0,0,0,0,0
1557,1765897297929,0,0,362,0,0,0,0,0
1558,1765897298414,0,0,362,0,0,0,0,0
1559,1765897299095,0,0,362,0,0,0,0,0
1560,1765897299166,0,0,362,0,0,0,0,0
1561,1765897299166,0,0,362,0,0,0,0,0
1562,1765897299233,0,0,362,0,0,0,0,0
1563,1765897299505,0,0,362,0,0,0,0,0
1564,1765897299651,0,0,362,0,0,0,0,0
1565,1765897299799,0,0,362,0,0,0,0,0
1566,1765897300078,0,0,362,0,0,0,0,0
1567,1765897300284,0,0,362,0,0,0,0,0
1568,1765897300718,0,0,362,0,0,0,0,0
1569,1765897300942,0,0,362,0,0,0,0,0
1570,1765897301371,0,0,362,0,0,0,0,0
1571,1765897302061,0,0,362,0,0,0,0,0
1572,1765897312581,0,0,362,0,0,0,0,0
1573,1765897313012,0,0,362,0,0,0,0,0
1574,1765897313219,0,0,362,0,0,0,0,0
1575,1765897313450,0,0,362,0,0,0,0,0
1576,1765897313591,0,0,362,0,0,0,0,0
1577,1765897313833,0,0,362,0,0,0,0,0
1578,1765897314031,0,0,362,0,0,0,0,0
1579,1765897314218,0,0,362,0,0,0,0,0
1580,1765897319124,0,0,362,0,0,0,0,0
1581,1765897319579,0,0,362,0,0,0,0,0
1582,1765897320152,0,0,362,0,0,0,0,0
1583,1765897320613,0,0,362,0,0,0,0,0
1584,1765897321277,0,0,362,0,0,0,0,0
1585,1765897321277,0,0,362,0,0,0,0,0
1586,1765897321278,0,0,362,0,0,0,0,0
1587,1765897321497,0,0,362,0,0,0,0,0
1588,1765897321943,0,0,362,0,0,0,0,0
1589,1765897322147,0,0,362,0,0,0,0,0
1590,1765897322418,0,0,362,0,0,0,0,0
1591,1765897323245,0,0,362,0,0,0,0,0
1592,1765897323649,0,0,362,0,0,0,0,0
1593,1765897323929,0,0,362,0,0,0,0,0
1594,1765897324148,0,0,362,0,0,0,0,0
1595,1765897324358,0,0,362,0,0,0,0,0
1596,1765897324568,0,0,362,0,0,0,0,0
1597,1765897324842,0,0,362,0,0,0,0,0
1598,1765897324987,0,0,362,0,0,0,0,0
1599,1765897325134,0,0,362,0,0,0,0,0
1600,1765897325413,0,0,362,0,0,0,0,0
1601,1765897325622,0,0,362,0,0,0,0,0
1602,1765897325754,0,0,362,0,0,0,0,0
1603,1765897326011,0,0,362,0,0,0,0,0
1604,1765897326261,0,0,362,0,0,0,0,0
1605,1765897326830,0,0,362,0,0,0,0,0
1606,1765897327078,0,0,362,0,0,0,0,0
1607,1765897327285,0,0,362,0,0,0,0,0
1608,1765897327544,0,0,362,0,0,0,0,0
1609,1765897327796,0,0,362,0,0,0,0,0
1610,1765897327996,0,0,362,0,0,0,0,0
1611,1765897328242,0,0,362,0,0,0,0,0
1612,1765897328467,0,0,362,0,0,0,0,0
1613,1765897328685,0,0,362,0,0,0,0,0
1614,1765897328908,0,0,362,0,0,0,0,0
1615,1765897329139,0,0,362,0,0,0,0,0
1616,1765897329374,0,0,362,0,0,0,0,0
1617,1765897329602,0,0,362,0,0,0,0,0
1618,1765897329862,0,0,362,0,0,0,0,0
1619,1765897330083,0,0,362,0,0,0,0,0
1620,1765897330301,0,0,362,0,0,0,0,0
1621,1765897330528,0,0,362,0,0,0,0,0
1622,1765897330745,0,0,362,0,0,0,0,0
1623,1765897331002,0,0,362,0,0,0,0,0
1624,1765897331243,0,0,362,0,0,0,0,0
1625,1765897331463,0,0,362,0,0,0,0,0
1626,1765897331696,0,0,362,0,0,0,0,0
1627,1765897331921,0,0,362,0,0,0,0,0
1628,1765897332150,0,0,362,0,0,0,0,0
1629,1765897332377,0,0,362,0,0,0,0,0
1630,1765897332973,0,0,362,0,0,0,0,0
1631,1765897332973,0,0,362,0,0,0,0,0
1632,1765897333123,0,0,362,0,0,0,0,0
1633,1765897333338,0,0,362,0,0,0,0,0
1634,1765897333566,0,0,362,0,0,0,0,0
1635,1765897333781,0,0,362,0,0,0,0,0
1636,1765897334074,0,0,362,0,0,0,0,0
1637,1765897334303,0,0,362,0,0,0,0,0
1638,1765897334524,0,0,362,0,0,0,0,0
1639,1765897334758,0,0,362,0,0,0,0,0
1640,1765897334984,0,0,362,0,0,0,0,0
1641,1765897335194,0,0,362,0,0,0,0,0
1642,1765897335427,0,0,362,0,0,0,0,0
1643,1765897335663,0,0,362,0,0,0,0,0
1644,1765897335887,0,0,362,0,0,0,0,0
1645,1765897336177,0,0,362,0,0,0,0,0
1646,1765897336393,0,0,362,0,0,0,0,0
1647,1765897336619,0,0,362,0,0,0,0,0
1648,1765897336834,0,0,362,0,0,0,0,0
1649,1765897337055,0,0,362,0,0,0,0,0
1650,1765897337282,0,0,362,0,0,0,0,0
1651,1765897337507,0,0,362,0,0,0,0,0
1652,1765897337787,0,0,362,0,0,0,0,0
1653,1765897337960,0,0,362,0,0,0,0,0
1654,1765897338235,0,0,362,0,0,0,0,0
1655,1765897338477,0,0,362,0,0,0,0,0
1656,1765897338670,0,0,362,0,0,0,0,0
1657,1765897338908,0,0,362,0,0,0,0,0
1658,1765897339136,0,0,362,0,0,0,0,0
1659,1765897339179,0,0,362,0,0,0,0,0
1660,1765897339402,0,0,362,0,0,0,0,0
1661,1765897339629,0,0,362,0,0,0,0,0
1662,1765897339850,0,0,362,0,0,0,0,0
1663,1765897339977,0,0,362,0,0,0,0,0
1664,1765897340484,0,0,362,0,0,0,0,0
1665,1765897340622,0,0,362,0,0,0,0,0
1666,1765897341395,0,0,362,0,0,0,0,0
1667,1765897341706,0,0,362,0,0,0,0,0
1668,1765897342544,0,0,362,0,0,0,0,0
1669,1765897342666,0,0,362,0,0,0,0,0
1670,1765897343881,0,0,362,0,0,0,0,0
1671,1765897344153,0,0,362,0,0,0,0,0
1672,1765897344385,0,0,362,0,0,0,0,0
1673,1765897344920,0,0,362,0,0,0,0,0
1674,1765897345720,0,0,362,0,0,0,0,0
1675,1765897345846,0,0,362,0,0,0,0,0
1676,1765897346383,0,0,362,0,0,0,0,0
1677,1765897346560,0,0,362,0,0,0,0,0
1678,1765897347968,0,0,362,0,0,0,0,0
1679,1765897348727,0,0,362,0,0,0,0,0
1680,1765897348810,0,0,362,0,0,0,0,0
1681,1765897350232,0,0,362,0,0,0,0,0
1682,1765897350989,0,0,362,0,0,0,0,0
1683,1765897352012,0,0,362,0,0,0,0,0
1684,1765897352455,0,0,362,0,0,0,0,0
1685,1765897352543,0,0,362,0,0,0,0,0
1686,1765897353383,0,0,362,0,0,0,0,0
1687,1765897354908,0,0,362,0,0,0,0,0
1688,1765897355356,0,0,362,0,0,0,0,0
1689,1765897355451,0,0,362,0,0,0,0,0
1690,1765897356160,0,0,362,0,0,0,0,0
1691,1765897356244,0,0,362,0,0,0,0,0
1692,1765897356908,0,0,362,0,0,0,0,0
1693,1765897356991,0,0,362,0,0,0,0,0
1694,1765897357793,0,0,362,0,0,0,0,0
1695,1765897358501,0,0,362,0,0,0,0,0
1696,1765897358634,0,0,362,0,0,0,0,0
1697,1765897358727,0,0,362,0,0,0,0,0
1698,1765897359524,0,0,362,0,0,0,0,0
1699,1765897360146,0,0,362,0,0,0,0,0
1700,1765897360326,0,0,362,0,0,0,0,0
1701,1765897360819,0,0,362,0,0,0,0,0
1702,1765897361499,0,0,362,0,0,0,0,0
1703,1765897361631,0,0,362,0,0,0,0,0
1704,1765897363494,0,0,0,0,0,0,0,0
1705,1765897363730,0,0,0,0,0,0,0,0
1706,1765897363975,0,0,0,0,0,0,0,0
1707,1765897364213,0,0,0,0,0,0,0,0
1708,1765897364307,0,0,0,0,0,0,0,0
1709,1765897364824,0,0,0,0,0,0,0,0
