index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
0,1782666859017,0,0,0
1,1782666859017,0,0,0
2,1782666860715,0,0,0
3,1782666862430,0,0,0
4,1782666862731,0,0,0
5,1782666863149,0,0,0
6,1782666864547,0,0,0
7,1782666867114,0,0,0
8,1782666867815,0,0,0
9,1782666868181,0,0,0
10,1782666869332,0,0,0
11,1782666869582,0,0,0
12,1782666871648,0,0,0
13,1782666872782,0,0,0
14,1782666872983,0,0,0
15,1782666874598,0,0,0
16,1782666875432,0,0,0
17,1782666875449,0,0,0
18,1782666876731,0,0,0
19,1782666877214,0,0,0
20,1782666879365,0,0,0
21,1782666879999,0,0,0
22,1782666881682,0,0,0
23,1782666882248,0,0,0
24,1782666884831,0,0,0
25,1782666885950,0,0,0
26,1782666886198,0,0,0
27,1782666886332,0,0,0
28,1782666886764,0,0,0
29,1782666886948,0,0,0
30,1782666888566,0,0,0
31,1782666889965,0,0,0
32,1782666890031,0,0,0
33,1782666891349,0,0,0
34,1782666891999,0,0,0
35,1782666892198,0,0,0
36,1782666892782,0,0,0
37,1782666893232,0,0,0
38,1782666896248,0,0,0
39,1782666896565,0,0,0
40,1782666897131,0,0,0
41,1782666897882,0,0,0
42,1782666898282,0,0,0
43,1782666898565,0,0,0
44,1782666899148,0,0,0
45,1782666899799,0,0,0
46,1782666901182,0,0,0
47,1782666902283,0,0,0
48,1782666903332,0,0,0
49,1782666903867,0,0,0
50,1782666904133,0,0,0
51,1782666904633,0,0,0
52,1782666906750,0,0,0
53,1782666907015,0,0,0
54,1782666907382,0,0,0
55,1782666908399,0,0,0
56,1782666909015,0,0,0
57,1782666909932,0,0,0
58,1782666911099,0,0,0
59,1782666912999,0,0,0
60,1782666913784,0,0,0
61,1782666913999,0,0,0
62,1782666914382,0,0,0
63,1782666914549,0,0,0
64,1782666915000,0,0,0
65,1782666915782,0,0,0
66,1782666916099,0,0,0
67,1782666916499,0,0,0
68,1782666917016,0,0,0
69,1782666918215,0,0,0
70,1782666918865,0,0,0
71,1782666918932,0,0,0
72,1782666919382,0,0,0
73,1782666919532,0,0,0
74,1782666920448,0,0,0
75,1782666920765,0,0,0
76,1782666921016,0,0,0
77,1782666921632,0,0,0
78,1782666922015,0,0,0
79,1782666922349,0,0,0
80,1782666923067,0,0,0
81,1782666923282,0,0,0
82,1782666925999,0,0,0
83,1782666926266,0,0,0
84,1782666927099,0,0,0
85,1782666927883,0,0,0
86,1782666928016,0,0,0
87,1782666928399,0,0,0
88,1782666928783,0,0,0
89,1782666928832,0,0,0
90,1782666929382,0,0,0
91,1782666930249,0,0,0
92,1782666930316,0,0,0
93,1782666930865,0,0,0
94,1782666932782,0,0,0
95,1782666933449,0,0,0
96,1782666933699,0,0,0
97,1782666935316,0,0,0
98,1782666935516,0,0,0
99,1782666935949,0,0,0
100,1782666936232,0,0,0
101,1782666936749,0,0,0
102,1782666937066,0,0,0
103,1782666937816,0,0,0
104,1782666939333,0,0,0
105,1782666940099,0,0,0
106,1782666940400,0,0,0
107,1782666940466,0,0,0
108,1782666941083,0,0,0
109,1782666941599,0,0,0
110,1782666942600,0,0,0
111,1782666943199,0,0,0
112,1782666943833,0,0,0
