index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
0,1782666859017,10,0,0
1,1782666859018,10,0,0
2,1782666859018,10,0,0
3,1782666859100,10,0,0
4,1782666859366,10,0,0
5,1782666859815,10,0,0
6,1782666860131,10,0,0
7,1782666861531,10,0,0
8,1782666865348,10,0,0
9,1782666865698,10,0,0
10,1782666865997,10,0,0
11,1782666866547,10,0,0
12,1782666866864,10,0,0
13,1782666867248,10,0,0
14,1782666867498,10,0,0
15,1782666868682,10,0,0
16,1782666868848,10,0,0
17,1782666869149,10,0,0
18,1782666869548,10,0,0
19,1782666870199,10,0,0
20,1782666871182,10,0,0
21,1782666871566,10,0,0
22,1782666871815,10,0,0
23,1782666872182,10,0,0
24,1782666872498,10,0,0
25,1782666872848,10,0,0
26,1782666873398,10,0,0
27,1782666873515,10,0,0
28,1782666873882,10,0,0
29,1782666874182,10,0,0
30,1782666874532,10,0,0
31,1782666876299,10,0,0
32,1782666880131,10,0,0
33,1782666880498,10,0,0
34,1782666880749,10,0,0
35,1782666880949,10,0,0
36,1782666881298,10,0,0
37,1782666881582,10,0,0
38,1782666881916,10,0,0
39,1782666882615,10,0,0
40,1782666883432,10,0,0
41,1782666884898,10,0,0
42,1782666885232,10,0,0
43,1782666885565,10,0,0
44,1782666886465,10,0,0
45,1782666886732,10,0,0
46,1782666887098,10,0,0
47,1782666887349,10,0,0
48,1782666887632,10,0,0
49,1782666888016,10,0,0
50,1782666888182,10,0,0
51,1782666888481,10,0,0
52,1782666888815,10,0,0
53,1782666889132,10,0,0
54,1782666889482,10,0,0
55,1782666892066,10,0,0
56,1782666892431,10,0,0
57,1782666892782,10,0,0
58,1782666893015,10,0,0
59,1782666894700,10,0,0
60,1782666895048,10,0,0
61,1782666895333,10,0,0
62,1782666899932,10,0,0
63,1782666902016,10,0,0
64,1782666902351,10,0,0
65,1782666902649,10,0,0
66,1782666902898,10,0,0
67,1782666903883,10,0,0
68,1782666904217,10,0,0
69,1782666905632,10,0,0
70,1782666908832,10,0,0
71,1782666909199,10,0,0
72,1782666909516,10,0,0
73,1782666909865,10,0,0
74,1782666910149,10,0,0
75,1782666911199,10,0,0
76,1782666911548,10,0,0
77,1782666911932,10,0,0
78,1782666912248,10,0,0
79,1782666912549,10,0,0
80,1782666912799,10,0,0
81,1782666912999,10,0,0
82,1782666913333,10,0,0
83,1782666913715,10,0,0
84,1782666916583,10,0,0
85,1782666916950,10,0,0
86,1782666917217,10,0,0
87,1782666917600,10,0,0
88,1782666918349,10,0,0
89,1782666919232,10,0,0
90,1782666919616,10,0,0
91,1782666919816,10,0,0
92,1782666923633,10,0,0
93,1782666923949,10,0,0
94,1782666924216,10,0,0
95,1782666924515,10,0,0
96,1782666925350,10,0,0
97,1782666927116,10,0,0
98,1782666928851,10,0,0
99,1782666929499,10,0,0
100,1782666929766,10,0,0
101,1782666930916,10,0,0
102,1782666931517,10,0,0
103,1782666931816,10,0,0
104,1782666932116,10,0,0
105,1782666933249,10,0,0
106,1782666933566,10,0,0
107,1782666933933,10,0,0
108,1782666934182,10,0,0
109,1782666934516,10,0,0
110,1782666934849,10,0,0
111,1782666935349,10,0,0
112,1782666935650,10,0,0
113,1782666935983,10,0,0
114,1782666936267,10,0,0
115,1782666936549,10,0,0
116,1782666936850,10,0,0
117,1782666937199,10,0,0
118,1782666937349,10,0,0
119,1782666937649,10,0,0
120,1782666938000,10,0,0
121,1782666938333,10,0,0
122,1782666941916,10,0,0
123,1782666942117,10,0,0
124,1782666943316,10,0,0
125,1782666943650,10,0,0
126,1782666943900,10,0,0
127,1782666944232,10,0,0
128,1782666944549,10,0,0
129,1782666947399,10,0,0
130,1782666947699,10,0,0
131,1782666948333,10,0,0
132,1782666949682,10,0,0
133,1782666949899,10,0,0
134,1782666950466,10,0,0
135,1782666950832,10,0,0
136,1782666951232,10,0,0
137,1782666951833,10,0,0
138,1782666952100,10,0,0
139,1782666952283,10,0,0
140,1782666952650,10,0,0
141,1782666954116,10,0,0
142,1782666955567,10,0,0
143,1782666955916,10,0,0
144,1782666956267,10,0,0
145,1782666956550,10,0,0
146,1782666956850,10,0,0
147,1782666957333,10,0,0
148,1782666957717,10,0,0
149,1782666958017,10,0,0
150,1782666959866,10,0,0
151,1782666960433,10,0,0
152,1782666965333,10,0,0
153,1782666965650,10,0,0
154,1782666965916,10,0,0
155,1782666966316,10,0,0
156,1782666966683,10,0,0
157,1782666966833,10,0,0
158,1782666967133,10,0,0
159,1782666967451,10,0,0
160,1782666967733,10,0,0
161,1782666968134,10,0,0
162,1782666969567,10,0,0
163,1782666972250,10,0,0
164,1782666975184,10,0,0
165,1782666975485,10,0,0
166,1782666976835,10,0,0
167,1782666977202,10,0,0
168,1782666977516,10,0,0
169,1782666981003,10,0,0
170,1782666981317,10,0,0
171,1782666982183,10,0,0
172,1782666982568,10,0,0
173,1782666984302,10,0,0
174,1782666984667,10,0,0
175,1782666986066,10,0,0
176,1782666987533,10,0,0
177,1782666987900,10,0,0
178,1782666988252,10,0,0
179,1782666988501,10,0,0
180,1782666988833,10,0,0
181,1782666989284,10,0,0
182,1782666989634,10,0,0
183,1782666989952,10,0,0
184,1782666990284,10,0,0
185,1782666990634,10,0,0
186,1782666990950,10,0,0
187,1782666991551,10,0,0
188,1782666991818,10,0,0
189,1782666996767,10,0,0
190,1782666997000,10,0,0
191,1782666997317,10,0,0
192,1782666997950,10,0,0
193,1782666998836,10,0,0
194,1782666999317,10,0,0
195,1782666999902,10,0,0
196,1782667000134,10,0,0
197,1782667000484,10,0,0
198,1782667000835,10,0,0
199,1782667001086,10,0,0
200,1782667001851,10,0,0
201,1782667002184,10,0,0
202,1782667002502,10,0,0
203,1782667002834,10,0,0
204,1782667003217,10,0,0
205,1782667003767,10,0,0
206,1782667003984,10,0,0
207,1782667004383,10,0,0
208,1782667006453,10,0,0
209,1782667006734,10,0,0
210,1782667009568,10,0,0
211,1782667009868,10,0,0
212,1782667010217,10,0,0
213,1782667010551,10,0,0
214,1782667010968,10,0,0
215,1782667011117,10,0,0
216,1782667011467,10,0,0
217,1782667011851,10,0,0
218,1782667012051,10,0,0
219,1782667012434,10,0,0
220,1782667433941,10,0,0
221,1782667434642,10,0,0
222,1782667435458,10,0,0
223,1782667435541,10,0,0
224,1782667436207,10,0,0
225,1782667436325,10,0,0
226,1782667437208,10,0,0
227,1782667437306,10,0,0
228,1782667438140,10,0,0
229,1782667438907,10,0,0
230,1782667439040,10,0,0
231,1782667439724,10,0,0
232,1782667439807,10,0,0
233,1782667440673,10,0,0
234,1782667442458,10,0,0
235,1782667442724,10,0,0
236,1782667444490,10,0,0
237,1782667444875,10,0,0
238,1782667445192,10,0,0
239,1782667445324,10,0,0
240,1782667445607,10,0,0
241,1782667445924,10,0,0
242,1782667446323,10,0,0
243,1782667446590,10,0,0
244,1782667448092,10,0,0
245,1782667449941,10,0,0
246,1782667450225,10,0,0
247,1782667451024,10,0,0
248,1782667451341,10,0,0
249,1782667451708,10,0,0
250,1782667452074,10,0,0
251,1782667452724,10,0,0
252,1782667452857,10,0,0
