index,date,SPEED_AVERAGE,STEERING_WHEEL,THROTTLE,BRAKE,1,2,3,4
0,1765220698681,0,0,0,0,0,0,0,0
1,1765220698965,0,0,0,0,0,0,0,0
2,1765220699032,0,0,0,0,0,0,0,0
3,1765220699315,0,0,0,0,0,0,0,0
4,1765220699597,0,0,0,0,0,0,0,0
5,1765220699948,0,0,0,0,0,0,0,0
6,1765220700231,0,0,0,0,0,0,0,0
7,1765220700582,0,0,0,0,0,0,0,0
8,1765220700865,0,0,0,0,0,0,0,0
9,1765220701215,0,0,0,0,0,0,0,0
10,1765220701500,0,0,0,0,0,0,0,0
11,1765220701815,0,0,0,0,0,0,0,0
12,1765220702099,0,0,0,0,0,0,0,0
13,1765220702382,0,0,0,0,0,0,0,0
14,1765220702698,0,0,0,0,0,0,0,0
15,1765220702982,0,0,0,0,0,0,0,0
16,1765220703282,0,0,0,0,0,0,0,0
17,1765220703565,0,0,0,0,0,0,0,0
18,1765220703898,0,0,0,0,0,0,0,0
19,1765220704165,0,0,0,0,0,0,0,0
20,1765220704449,0,0,0,0,0,0,0,0
21,1765220704764,0,0,0,0,0,0,0,0
22,1765220705048,0,0,0,0,0,0,0,0
23,1765220705366,0,0,0,0,0,0,0,0
24,1765220705649,0,0,0,0,0,0,0,0
25,1765220705915,0,0,0,0,0,0,0,0
26,1765220706249,0,0,0,0,0,0,0,0
27,1765220706515,0,0,0,0,0,0,0,0
28,1765220706832,0,0,0,0,0,0,0,0
29,1765220707116,0,0,0,0,0,0,0,0
30,1765220707431,0,0,0,0,0,0,0,0
31,1765220707698,0,0,0,0,0,0,0,0
32,1765220707998,0,0,0,0,0,0,0,0
33,1765220708314,0,0,0,0,0,0,0,0
34,1765220708598,0,0,0,0,0,0,0,0
35,1765220708915,0,0,0,0,0,0,0,0
36,1765220709181,0,0,0,0,0,0,0,0
37,1765220709525,0,0,0,0,0,0,0,0
38,1765220709782,0,0,0,0,0,0,0,0
39,1765220710065,0,0,0,0,0,0,0,0
40,1765220710382,0,0,0,0,0,0,0,0
41,1765220710665,0,0,0,0,0,0,0,0
42,1765220710980,0,0,0,0,0,0,0,0
43,1765220711265,0,0,0,0,0,0,0,0
44,1765220711549,0,0,0,0,0,0,0,0
45,1765220711582,0,0,0,0,0,0,0,0
46,1765220711865,0,0,0,0,0,0,0,0
47,1765220712131,0,0,0,0,0,0,0,0
48,1765220712449,0,0,0,0,0,0,0,0
49,1765220712732,0,0,0,0,0,0,0,0
50,1765220713048,0,0,0,0,0,0,0,0
51,1765220713331,0,0,0,0,0,0,0,0
52,1765220713598,0,0,0,0,0,0,0,0
53,1765220713915,0,0,0,0,0,0,0,0
54,1765220714215,0,0,0,0,0,0,0,0
55,1765220714515,0,0,0,0,0,0,0,0
56,1765220714798,0,0,0,0,0,0,0,0
57,1765220715115,0,0,0,0,0,0,0,0
58,1765220715399,0,0,0,0,0,0,0,0
59,1765220715681,0,0,0,0,0,0,0,0
60,1765220715981,0,0,0,0,0,0,0,0
61,1765220716248,0,0,0,0,0,0,0,0
62,1765220716582,0,0,0,0,0,0,0,0
63,1765220716865,0,0,0,0,0,0,0,0
64,1765220717148,0,0,0,0,0,0,0,0
65,1765220717449,0,0,0,0,0,0,0,0
66,1765220717731,0,0,0,0,0,0,0,0
67,1765220718065,0,0,0,0,0,0,0,0
68,1765220718332,0,0,0,0,0,0,0,0
69,1765220718631,0,0,0,0,0,0,0,0
70,1765220718916,0,0,0,0,0,0,0,0
71,1765220719215,0,0,0,0,0,0,0,0
72,1765220719297,0,0,0,0,0,0,0,0
73,1765220719615,0,0,0,0,0,0,0,0
74,1765220720032,0,0,0,0,0,0,0,0
75,1765220720349,0,0,0,0,0,0,0,0
76,1765220720499,0,0,0,0,0,0,0,0
77,1765220720782,0,0,0,0,0,0,0,0
78,1765220721265,0,0,0,0,0,0,0,0
79,1765220721532,0,0,0,0,0,0,0,0
80,1765220721997,0,0,0,0,0,0,0,0
81,1765220722449,0,0,0,0,0,0,0,0
82,1765220722715,0,0,0,0,0,0,0,0
83,1765220723199,0,0,0,0,0,0,0,0
84,1765220723466,0,0,0,0,0,0,0,0
85,1765220723600,0,0,0,0,0,0,0,0
86,1765220723931,0,0,0,0,0,0,0,0
87,1765220724350,0,0,0,0,0,0,0,0
88,1765220724699,0,0,0,0,0,0,0,0
89,1765220724814,0,0,0,0,0,0,0,0
90,1765220725115,0,0,0,0,0,0,0,0
91,1765220725532,0,0,0,0,0,0,0,0
92,1765220725883,0,0,0,0,0,0,0,0
93,1765220726015,0,0,0,0,0,0,0,0
94,1765220726299,0,0,0,0,0,0,0,0
95,1765220726582,0,0,0,0,0,0,0,0
96,1765220726915,0,0,0,0,0,0,0,0
97,1765220727198,0,0,0,0,0,0,0,0
98,1765220727531,0,0,0,0,0,0,0,0
99,1765220727880,0,0,0,0,0,0,0,0
100,1765220727999,0,0,0,0,0,0,0,0
101,1765220728282,0,0,0,0,0,0,0,0
102,1765220728798,0,0,0,0,0,0,0,0
103,1765220729265,0,0,0,0,0,0,0,0
104,1765220729598,0,0,0,0,0,0,0,0
105,1765220729750,0,0,0,0,0,0,0,0
106,1765220730048,0,0,0,0,0,0,0,0
107,1765220730515,0,0,0,0,0,0,0,0
108,1765220730849,0,0,0,0,0,0,0,0
109,1765220731014,0,0,0,0,0,0,0,0
110,1765220731315,0,0,0,0,0,0,0,0
111,1765220731813,0,0,0,0,0,0,0,0
112,1765220732265,0,0,0,0,0,0,0,0
113,1765220732599,0,0,0,0,0,0,0,0
114,1765220732749,0,0,0,0,0,0,0,0
115,1765220733049,0,0,0,0,0,0,0,0
116,1765220733515,0,0,0,0,0,0,0,0
117,1765220734015,0,0,0,0,0,0,0,0
118,1765220734299,0,0,0,0,0,0,0,0
119,1765220734766,0,0,0,0,0,0,0,0
120,1765220735232,0,0,0,0,0,0,0,0
121,1765220735565,0,0,0,0,0,0,0,0
122,1765220735731,0,0,0,0,0,0,0,0
123,1765220736015,0,0,0,0,0,0,0,0
124,1765220736449,0,0,0,0,0,0,0,0
125,1765220736767,0,0,0,0,0,0,0,0
126,1765220736898,0,0,0,0,0,0,0,0
127,1765220737183,0,0,0,0,0,0,0,0
128,1765220737648,0,0,0,0,0,0,0,0
129,1765220737932,0,0,0,0,0,0,0,0
130,1765220738416,0,0,0,0,0,0,0,0
131,1765220738815,0,0,0,0,0,0,0,0
132,1765220739147,0,0,0,0,0,0,0,0
133,1765220739580,0,0,0,0,0,0,0,0
134,1765220739865,0,0,0,0,0,0,0,0
135,1765220739998,0,0,0,0,0,0,0,0
136,1765220740349,0,0,0,0,0,0,0,0
137,1765220740765,0,0,0,0,0,0,0,0
138,1765220741232,0,0,0,0,0,0,0,0
139,1765220741515,0,0,0,0,0,0,0,0
140,1765220741998,0,0,0,0,0,0,0,0
141,1765220742334,0,0,0,0,0,0,0,0
142,1765220742415,0,0,0,0,0,0,0,0
143,1765220742698,0,0,0,0,0,0,0,0
144,1765220743181,0,0,0,0,0,0,0,0
145,1765220743431,0,0,0,0,0,0,0,0
146,1765220743581,0,0,0,0,0,0,0,0
147,1765220743931,0,0,0,0,0,0,0,0
