index,date,SPEED_AVERAGE,STEERING_WHEEL,THROTTLE,BRAKE,1,2,3,4
0,1765218500010,0,0,1000,0,0,0,0,0
1,1765218500293,0,0,683,0,0,0,0,0
2,1765218500710,0,0,683,0,0,0,0,0
3,1765218500977,0,0,485,0,0,0,0,0
4,1765218501094,0,0,1000,0,0,0,0,0
5,1765218501394,0,0,1000,0,0,0,0,0
6,1765218501827,0,0,476,0,0,0,0,0
7,1765218502110,0,0,503,0,0,0,0,0
8,1765218502543,0,0,553,0,0,0,0,0
9,1765218502810,0,0,535,0,0,0,0,0
10,1765218502943,0,0,616,0,0,0,0,0
11,1765218503277,0,0,617,0,0,0,0,0
12,1765218503693,0,0,501,0,0,0,0,0
13,1765218503993,0,0,478,0,0,0,0,0
14,1765218504393,0,0,316,0,0,0,0,0
15,1765218504660,0,0,320,0,0,0,0,0
16,1765218505109,0,0,569,0,0,0,0,0
17,1765218505376,0,0,564,0,0,0,0,0
18,1765218505509,0,0,330,0,0,0,0,0
19,1765218505827,0,0,331,0,0,0,0,0
20,1765218506210,0,0,544,0,0,0,0,0
21,1765218506543,0,0,527,0,0,0,0,0
22,1765218506943,0,0,212,0,0,0,0,0
23,1765218507260,0,0,143,0,0,0,0,0
24,1765218507360,0,0,0,0,0,0,0,0
25,1765218507677,0,0,0,0,0,0,0,0
26,1765218508093,0,0,0,0,0,0,0,0
27,1765218508427,0,0,0,0,0,0,0,0
28,1765218508811,0,0,0,0,0,0,0,0
29,1765218509127,0,0,0,0,0,0,0,0
30,1765218509243,0,0,0,0,0,0,0,0
31,1765218509527,0,0,0,0,0,0,0,0
32,1765218509993,0,0,0,0,0,0,0,0
33,1765218510278,0,0,0,0,0,0,0,0
34,1765218510661,0,0,0,0,0,0,0,0
35,1765218510960,0,0,0,0,0,0,0,0
36,1765218511093,0,0,0,0,0,0,0,0
37,1765218511378,0,0,0,0,0,0,0,0
38,1765218511828,0,0,0,0,0,0,0,0
39,1765218512110,0,0,0,0,0,0,0,0
40,1765218512813,0,0,0,0,0,0,0,0
41,1765218513261,0,0,0,0,0,0,0,0
42,1765218513677,0,0,0,0,0,0,0,0
43,1765218513943,0,0,0,0,0,0,0,0
44,1765218514410,0,0,0,0,0,0,0,0
45,1765218514694,0,0,0,0,0,0,0,0
46,1765218514843,0,0,0,0,0,0,0,0
47,1765218515177,0,0,0,0,0,0,0,0
48,1765218515594,0,0,0,0,0,0,0,0
49,1765218515893,0,0,0,0,0,0,0,0
50,1765218516310,0,0,0,0,0,0,0,0
51,1765218516643,0,0,0,0,0,0,0,0
52,1765218516727,0,0,0,0,0,0,0,0
53,1765218517044,0,0,0,0,0,0,0,0
54,1765218517443,0,0,0,0,0,0,0,0
55,1765218517760,0,0,0,0,0,0,0,0
56,1765218518143,0,0,0,0,0,0,0,0
57,1765218518494,0,0,0,0,0,0,0,0
58,1765218518627,0,0,0,0,0,0,0,0
59,1765218518910,0,0,0,0,0,0,0,0
60,1765218519360,0,0,0,0,0,0,0,0
61,1765218519659,0,0,0,0,0,0,0,0
62,1765218519776,0,45056,39368,2365,0,0,0,0
63,1765218520077,0,0,112,0,0,0,0,0
64,1765218520526,0,0,1000,0,0,0,0,0
65,1765218521693,0,0,0,0,0,0,0,0
66,1765218522026,0,0,0,0,0,0,0,0
67,1765218523210,0,0,1000,0,0,0,0,0
68,1765218523610,0,0,1000,0,0,0,0,0
69,1765218523943,0,0,1000,0,0,0,0,0
70,1765218524076,0,0,1000,0,0,0,0,0
71,1765218524359,0,0,1000,0,0,0,0,0
72,1765218524809,0,0,1000,0,0,0,0,0
73,1765218525093,0,0,1000,0,0,0,0,0
74,1765218525543,0,0,1000,0,0,0,0,0
75,1765218525826,0,0,1000,0,0,0,0,0
76,1765218525959,0,0,1000,0,0,0,0,0
77,1765218526260,0,0,517,0,0,0,0,0
78,1765218526711,0,0,102,0,0,0,0,0
79,1765218526993,0,0,73,0,0,0,0,0
80,1765218527477,0,0,1000,0,0,0,0,0
81,1765218527910,0,0,1000,0,0,0,0,0
82,1765218528210,0,0,1000,0,0,0,0,0
83,1765218528360,0,0,1000,0,0,0,0,0
84,1765218528628,0,0,1000,0,0,0,0,0
85,1765218529093,0,0,1000,0,0,0,0,0
86,1765218529394,0,0,1000,0,0,0,0,0
87,1765218529828,0,0,1000,0,0,0,0,0
88,1765218530109,0,0,1000,0,0,0,0,0
89,1765218530226,0,0,691,0,0,0,0,0
90,1765218530510,0,0,370,0,0,0,0,0
91,1765218530961,0,0,0,0,0,0,0,0
92,1765218531245,0,0,0,0,0,0,0,0
93,1765218531694,0,0,0,0,0,0,0,0
94,1765218531978,0,0,0,0,0,0,0,0
95,1765218532395,0,0,0,0,0,0,0,0
96,1765218532809,0,0,0,0,0,0,0,0
97,1765218533093,0,0,0,0,0,0,0,0
98,1765218533531,0,0,0,0,0,0,0,0
99,1765218533811,0,0,0,0,0,0,0,0
100,1765218534277,0,0,0,0,0,0,0,0
101,1765218534545,0,0,0,0,0,0,0,0
102,1765218534677,0,0,0,0,0,0,0,0
103,1765218534994,0,0,0,0,0,0,0,0
104,1765218535394,0,0,0,0,0,0,0,0
105,1765218535694,0,0,0,0,0,0,0,0
106,1765218536144,0,0,0,0,0,0,0,0
107,1765218536426,0,0,0,0,0,0,0,0
108,1765218536561,0,0,0,0,0,0,0,0
109,1765218536861,0,0,0,0,0,0,0,0
110,1765218537277,0,0,0,0,0,0,0,0
111,1765218537595,0,0,0,0,0,0,0,0
112,1765218537728,0,0,0,0,0,0,0,0
113,1765218538010,0,0,0,0,0,0,0,0
114,1765218538411,0,0,0,0,0,0,0,0
115,1765218538711,0,0,0,0,0,0,0,0
116,1765218539110,0,0,0,0,0,0,0,0
117,1765218539461,0,0,0,0,0,0,0,0
118,1765218539594,0,0,0,0,0,0,0,0
119,1765218539861,0,0,0,0,0,0,0,0
120,1765218540311,0,0,0,0,0,0,0,0
121,1765218540594,0,0,0,0,0,0,0,0
122,1765218541062,0,0,0,0,0,0,0,0
123,1765218541345,0,0,0,0,0,0,0,0
124,1765218541476,0,0,0,0,0,0,0,0
125,1765218541761,0,0,0,0,0,0,0,0
126,1765218542194,0,0,0,0,0,0,0,0
127,1765218542494,0,0,0,0,0,0,0,0
128,1765218542927,0,0,0,0,0,0,0,0
129,1765218543209,0,0,0,0,0,0,0,0
130,1765218543342,0,0,0,0,0,0,0,0
131,1765218543662,0,0,0,0,0,0,0,0
132,1765218544076,0,0,0,0,0,0,0,0
133,1765218544464,0,0,0,0,0,0,0,0
134,1765218544826,0,0,0,0,0,0,0,0
135,1765218545094,0,0,0,0,0,0,0,0
136,1765218545210,0,0,0,0,0,0,0,0
137,1765218545526,0,0,0,0,0,0,0,0
138,1765218545943,0,0,0,0,0,0,0,0
139,1765218546259,0,0,0,0,0,0,0,0
140,1765218546677,0,0,0,0,0,0,0,0
141,1765218546993,0,0,0,0,0,0,0,0
142,1765218547094,0,0,0,0,0,0,0,0
143,1765218547376,0,0,0,0,0,0,0,0
144,1765218547827,0,0,0,0,0,0,0,0
145,1765218548127,0,0,0,0,0,0,0,0
146,1765218548544,0,0,0,0,0,0,0,0
147,1765218548978,0,0,0,0,0,0,0,0
148,1765218549261,0,0,0,0,0,0,0,0
149,1765218549728,0,0,0,0,0,0,0,0
150,1765218550011,0,0,0,0,0,0,0,0
151,1765218550462,0,0,0,0,0,0,0,0
152,1765218550844,0,0,0,0,0,0,0,0
153,1765218551161,0,0,0,0,0,0,0,0
154,1765218551610,0,0,0,0,0,0,0,0
155,1765218551875,0,0,0,0,0,0,0,0
156,1765218552311,0,0,0,0,0,0,0,0
157,1765218552743,0,0,0,0,0,0,0,0
158,1765218553061,0,0,0,0,0,0,0,0
159,1765218553478,0,0,0,0,0,0,0,0
160,1765218553811,0,0,0,0,0,0,0,0
161,1765218553927,0,0,0,0,0,0,0,0
162,1765218554211,0,0,0,0,0,0,0,0
163,1765218554644,0,0,0,0,0,0,0,0
164,1765218554976,0,0,0,0,0,0,0,0
165,1765218555110,0,0,0,0,0,0,0,0
166,1765218555407,0,0,0,0,0,0,0,0
167,1765218555859,0,0,0,0,0,0,0,0
168,1765218556143,0,0,0,0,0,0,0,0
169,1765218556610,0,0,0,0,0,0,0,0
170,1765218557043,0,0,0,0,0,0,0,0
171,1765218557361,32768,44544,28807,4112,0,0,0,0
172,1765218557794,0,0,0,0,0,0,0,0
173,1765218558078,0,0,0,0,0,0,0,0
174,1765218558210,0,0,0,0,0,0,0,0
175,1765218558542,0,0,0,0,0,0,0,0
176,1765218558993,0,0,0,0,0,0,0,0
177,1765218559294,0,0,0,0,0,0,0,0
178,1765218559444,0,0,0,0,0,0,0,0
179,1765218559728,0,0,0,0,0,0,0,0
180,1765218560227,0,0,0,0,0,0,0,0
181,1765218560677,0,0,0,0,0,0,0,0
182,1765218560960,0,0,0,0,0,0,0,0
183,1765218561344,0,0,0,0,0,0,0,0
184,1765218561627,0,0,0,0,0,0,0,0
185,1765218561976,0,0,0,0,0,0,0,0
186,1765218562277,0,0,0,0,0,0,0,0
187,1765218562677,0,0,0,0,0,0,0,0
188,1765218562959,0,0,0,0,0,0,0,0
189,1765218563127,0,0,0,0,0,0,0,0
190,1765218563461,0,0,0,0,0,0,0,0
191,1765218563894,0,0,0,0,0,0,0,0
192,1765218564227,0,0,0,0,0,0,0,0
193,1765218564394,0,0,0,0,0,0,0,0
194,1765218564677,0,0,0,0,0,0,0,0
195,1765218565128,0,0,0,0,0,0,0,0
196,1765218565394,0,0,0,0,0,0,0,0
197,1765218565861,0,0,0,0,0,0,0,0
198,1765218566318,0,0,0,0,0,0,0,0
199,1765218566528,0,0,0,0,0,0,0,0
200,1765218566977,0,0,0,0,0,0,0,0
201,1765218567261,0,0,0,0,0,0,0,0
202,1765218567726,0,0,0,0,0,0,0,0
203,1765218568111,0,0,0,0,0,0,0,0
204,1765218568444,0,0,0,0,0,0,0,0
205,1765218568828,0,0,0,0,0,0,0,0
206,1765218569176,0,0,0,0,0,0,0,0
207,1765218569593,0,0,0,0,0,0,0,0
208,1765218569876,0,0,0,0,0,0,0,0
209,1765218570226,0,0,0,0,0,0,0,0
210,1765218570659,0,0,0,0,0,0,0,0
211,1765218570942,0,0,0,0,0,0,0,0
212,1765218571294,0,0,0,0,0,0,0,0
213,1765218571642,0,0,0,0,0,0,0,0
214,1765218572043,0,0,0,0,0,0,0,0
215,1765218572343,0,0,0,0,0,0,0,0
216,1765218572660,0,0,0,0,0,0,0,0
217,1765218572993,0,0,0,0,0,0,0,0
218,1765218573125,0,0,0,0,0,0,0,0
219,1765218573409,0,0,0,0,0,0,0,0
220,1765218573709,0,0,0,0,0,0,0,0
221,1765218574093,0,0,0,0,0,0,0,0
222,1765218574359,0,0,0,0,0,0,0,0
223,1765218574475,0,0,0,0,0,0,0,0
224,1765218574792,0,0,0,0,0,0,0,0
225,1765218575075,0,0,0,0,0,0,0,0
226,1765218575143,0,0,0,0,0,0,0,0
227,1765218575442,0,0,0,0,0,0,0,0
228,1765218575843,0,0,0,0,0,0,0,0
229,1765218576142,0,0,0,0,0,0,0,0
230,1765218576510,0,0,0,0,0,0,0,0
231,1765218576793,0,0,0,0,0,0,0,0
232,1765218577284,0,0,0,0,0,0,0,0
233,1765218577509,0,0,0,0,0,0,0,0
234,1765218577875,0,0,0,0,0,0,0,0
235,1765218578176,0,0,0,0,0,0,0,0
236,1765218578575,0,0,0,0,0,0,0,0
237,1765218578892,0,0,0,0,0,0,0,0
238,1765218578960,0,0,0,0,0,0,0,0
239,1765218579309,0,0,0,0,0,0,0,0
240,1765218579710,0,0,0,0,0,0,0,0
241,1765218580026,0,0,0,0,0,0,0,0
242,1765218580425,0,0,0,0,0,0,0,0
243,1765218580743,0,0,0,0,0,0,0,0
244,1765218580876,0,0,0,0,0,0,0,0
245,1765218581160,0,0,0,0,0,0,0,0
246,1765218581542,0,0,0,0,0,0,0,0
247,1765218581860,0,0,0,0,0,0,0,0
248,1765218582245,0,0,0,0,0,0,0,0
249,1765218582576,0,0,0,0,0,0,0,0
250,1765218582693,0,0,0,0,0,0,0,0
251,1765218582961,0,0,0,0,0,0,0,0
252,1765218583279,0,0,0,0,0,0,0,0
253,1765218583411,0,0,0,0,0,0,0,0
254,1765218583677,0,0,0,0,0,0,0,0
255,1765218584144,0,0,0,0,0,0,0,0
256,1765218584426,0,0,0,0,0,0,0,0
257,1765218584560,0,0,0,0,0,0,0,0
258,1765218584843,0,0,0,0,0,0,0,0
259,1765218585161,0,0,0,0,0,0,0,0
260,1765218585261,0,0,0,0,0,0,0,0
261,1765218585561,0,0,0,0,0,0,0,0
262,1765218586010,0,0,0,0,0,0,0,0
263,1765218586296,0,0,0,0,0,0,0,0
264,1765218586727,0,0,0,0,0,0,0,0
265,1765218587010,0,0,0,0,0,0,0,0
266,1765218587128,0,0,0,0,0,0,0,0
267,1765218587477,0,0,0,0,0,0,0,0
268,1765218587860,0,0,0,0,0,0,0,0
269,1765218588144,0,0,0,0,0,0,0,0
270,1765218588592,0,0,0,0,0,0,0,0
271,1765218588876,0,0,0,0,0,0,0,0
272,1765218588993,0,0,0,0,0,0,0,0
273,1765218589361,0,0,0,0,0,0,0,0
274,1765218589761,0,0,0,0,0,0,0,0
275,1765218590062,0,0,0,0,0,0,0,0
276,1765218590193,0,0,0,0,0,0,0,0
277,1765218590494,0,0,0,0,0,0,0,0
278,1765218590928,0,0,0,0,0,0,0,0
279,1765218591211,0,0,0,0,0,0,0,0
280,1765218591643,0,0,0,0,0,0,0,0
281,1765218591942,0,0,0,0,0,0,0,0
282,1765218592094,0,0,0,0,0,0,0,0
283,1765218592378,0,0,0,0,0,0,0,0
284,1765218592843,0,0,0,0,0,0,0,0
285,1765218593128,0,0,0,0,0,0,0,0
286,1765218593277,0,0,0,0,0,0,0,0
287,1765218593594,0,0,0,0,0,0,0,0
288,1765218594027,0,0,0,0,0,0,0,0
289,1765218594327,0,0,0,0,0,0,0,0
290,1765218594776,0,0,0,0,0,0,0,0
291,1765218595211,0,0,0,0,0,0,0,0
292,1765218595527,0,0,0,0,0,0,0,0
293,1765218595678,0,0,0,0,0,0,0,0
294,1765218595961,0,0,0,0,0,0,0,0
295,1765218596444,0,0,0,0,0,0,0,0
296,1765218596710,0,0,0,0,0,0,0,0
297,1765218597194,0,0,0,0,0,0,0,0
298,1765218597611,0,0,0,0,0,0,0,0
299,1765218597894,0,0,0,0,0,0,0,0
300,1765218598378,0,0,0,0,0,0,0,0
301,1765218598660,0,0,0,0,0,0,0,0
302,1765218598794,0,0,0,0,0,0,0,0
303,1765218599188,0,0,0,0,0,0,0,0
304,1765218599544,0,0,0,0,0,0,0,0
305,1765218599877,0,0,0,0,0,0,0,0
306,1765218600009,0,0,0,0,0,0,0,0
307,1765218600294,0,0,0,0,0,0,0,0
308,1765218600676,0,0,0,0,0,0,0,0
309,1765218600975,0,0,0,0,0,0,0,0
310,1765218601394,0,0,0,0,0,0,0,0
311,1765218601744,0,0,0,0,0,0,0,0
312,1765218601861,0,0,0,0,0,0,0,0
313,1765218602126,0,0,0,0,0,0,0,0
314,1765218602576,0,0,0,0,0,0,0,0
315,1765218602859,0,0,0,0,0,0,0,0
316,1765218603310,0,0,0,0,0,0,0,0
317,1765218603611,0,0,0,0,0,0,0,0
318,1765218603728,0,0,0,0,0,0,0,0
319,1765218604009,0,0,0,0,0,0,0,0
320,1765218604427,0,0,0,0,0,0,0,0
321,1765218604710,0,0,0,0,0,0,0,0
322,1765218605161,0,0,0,0,0,0,0,0
323,1765218605427,0,0,0,0,0,0,0,0
324,1765218605861,0,0,0,0,0,0,0,0
325,1765218606145,0,0,0,0,0,0,0,0
326,1765218606244,0,0,0,0,0,0,0,0
327,1765218606593,0,0,0,0,0,0,0,0
328,1765218606993,0,0,0,0,0,0,0,0
329,1765218607277,0,0,0,0,0,0,0,0
330,1765218607694,0,0,0,0,0,0,0,0
331,1765218607978,0,0,0,0,0,0,0,0
332,1765218608110,0,0,0,0,0,0,0,0
333,1765218608444,0,0,0,0,0,0,0,0
334,1765218608844,0,0,0,0,0,0,0,0
335,1765218609160,0,0,0,0,0,0,0,0
336,1765218609561,0,0,0,0,0,0,0,0
337,1765218609894,0,0,0,0,0,0,0,0
338,1765218610277,0,0,0,0,0,0,0,0
339,1765218610544,0,0,0,0,0,0,0,0
340,1765218610677,0,0,0,0,0,0,0,0
341,1765218610994,0,0,0,0,0,0,0,0
342,1765218611377,0,0,0,0,0,0,0,0
343,1765218611727,0,0,0,0,0,0,0,0
344,1765218612127,0,0,0,0,0,0,0,0
345,1765218612444,0,0,0,0,0,0,0,0
346,1765218612561,0,0,0,0,0,0,0,0
347,1765218612861,0,0,0,0,0,0,0,0
348,1765218613244,0,0,0,0,0,0,0,0
349,1765218613594,0,0,0,0,0,0,0,0
350,1765218614010,0,0,0,0,0,0,0,0
351,1765218614310,0,0,0,0,0,0,0,0
352,1765218614427,0,0,0,0,0,0,0,0
353,1765218614711,0,0,0,0,0,0,0,0
354,1765218615160,0,0,0,0,0,0,0,0
355,1765218615443,0,0,0,0,0,0,0,0
356,1765218615860,0,0,0,0,0,0,0,0
357,1765218616143,0,0,0,0,0,0,0,0
358,1765218616527,0,0,0,0,0,0,0,0
359,1765218619692,0,0,0,0,0,0,0,0
360,1765218619977,0,0,0,0,0,0,0,0
361,1765218620260,0,0,0,0,0,0,0,0
362,1765218620577,0,0,0,0,0,0,0,0
363,1765218620861,0,0,0,0,0,0,0,0
364,1765218621260,0,0,0,0,0,0,0,0
365,1765218621561,0,0,0,0,0,0,0,0
366,1765218621661,0,0,0,0,0,0,0,0
367,1765218621993,0,0,0,0,0,0,0,0
368,1765218622394,0,0,0,0,0,0,0,0
369,1765218622710,0,0,0,0,0,0,0,0
370,1765218623109,0,0,0,0,0,0,0,0
371,1765218623427,0,0,0,0,0,0,0,0
372,1765218623860,0,0,0,0,0,0,0,0
373,1765218624260,0,0,0,0,0,0,0,0
374,1765218624577,0,0,0,0,0,0,0,0
375,1765218624961,0,0,0,0,0,0,0,0
376,1765218625310,0,0,0,0,0,0,0,0
377,1765218625443,0,0,0,0,0,0,0,0
378,1765218625727,0,0,0,0,0,0,0,0
379,1765218626127,0,0,0,0,0,0,0,0
380,1765218626443,0,0,0,0,0,0,0,0
381,1765218626860,0,0,0,0,0,0,0,0
382,1765218627344,0,0,0,0,0,0,0,0
383,1765218627610,0,0,0,0,0,0,0,0
384,1765218628061,0,0,0,0,0,0,0,0
385,1765218628329,0,0,0,0,0,0,0,0
386,1765218628477,0,0,0,0,0,0,0,0
387,1765218628812,0,0,0,0,0,0,0,0
388,1765218629242,0,0,0,0,0,0,0,0
389,1765218629509,0,0,0,0,0,0,0,0
390,1765218629960,0,0,0,0,0,0,0,0
391,1765218630260,0,0,0,0,0,0,0,0
392,1765218630393,0,0,0,0,0,0,0,0
393,1765218630727,0,0,0,0,0,0,0,0
394,1765218631159,0,0,0,0,0,0,0,0
395,1765218631458,0,0,0,0,0,0,0,0
396,1765218631608,0,0,0,0,0,0,0,0
397,1765218631892,0,0,0,0,0,0,0,0
398,1765218632358,0,0,0,0,0,0,0,0
399,1765218632625,0,0,0,0,0,0,0,0
400,1765218632776,0,0,0,0,0,0,0,0
401,1765218633060,0,0,0,0,0,0,0,0
402,1765218633542,0,0,0,0,0,0,0,0
403,1765218633827,0,0,0,0,0,0,0,0
404,1765218634309,0,0,0,0,0,0,0,0
405,1765218634727,0,0,0,0,0,0,0,0
406,1765218635043,0,0,0,0,0,0,0,0
407,1765218635194,0,0,0,0,0,0,0,0
408,1765218635477,0,0,0,0,0,0,0,0
409,1765218635926,0,0,0,0,0,0,0,0
410,1765218636242,0,0,0,0,0,0,0,0
411,1765218636677,0,0,0,0,0,0,0,0
412,1765218637142,0,0,0,0,0,0,0,0
413,1765218637427,0,0,0,0,0,0,0,0
414,1765218637910,0,0,0,0,0,0,0,0
415,1765218638343,0,0,0,0,0,0,0,0
416,1765218638644,0,0,0,0,0,0,0,0
417,1765218639045,0,0,0,0,0,0,0,0
418,1765218639328,0,0,0,0,0,0,0,0
419,1765218639795,0,0,0,0,0,0,0,0
420,1765218640211,0,0,0,0,0,0,0,0
421,1765218640527,0,0,0,0,0,0,0,0
422,1765218640910,0,0,0,0,0,0,0,0
423,1765218641260,0,0,0,0,0,0,0,0
424,1765218641377,0,0,0,0,0,0,0,0
425,1765218641660,0,0,0,0,0,0,0,0
426,1765218641943,0,0,0,0,0,0,0,0
427,1765218642026,0,0,0,0,0,0,0,0
428,1765218642344,0,0,0,0,0,0,0,0
429,1765218642726,0,0,0,0,0,0,0,0
430,1765218643077,0,0,0,0,0,0,0,0
431,1765218643460,0,0,0,0,0,0,0,0
432,1765218643760,0,0,0,0,0,0,0,0
433,1765218643909,0,0,0,0,0,0,0,0
434,1765218644189,0,0,0,0,0,0,0,0
435,1765218644643,0,0,0,0,0,0,0,0
436,1765218644927,0,0,0,0,0,0,0,0
437,1765218645343,0,0,0,0,0,0,0,0
438,1765218645643,0,0,0,0,0,0,0,0
439,1765218645775,0,0,0,0,0,0,0,0
440,1765218646060,0,0,0,0,0,0,0,0
441,1765218646509,0,0,0,0,0,0,0,0
442,1765218646793,0,0,0,0,0,0,0,0
443,1765218647212,0,0,0,0,0,0,0,0
