index,date,SLAVE_5,SLAVE_6,OVERVOLTAGE,UNDERVOLTAGE,1,2,3,4
0,1765218500677,0,0,0,0,0,0,0,0
1,1765218502459,0,0,0,0,0,0,0,0
2,1765218503977,0,0,0,0,0,0,0,0
3,1765218505743,0,0,0,0,0,0,0,0
4,1765218507243,0,0,0,0,0,0,0,0
5,1765218507426,0,0,0,0,0,0,0,0
6,1765218509044,0,0,0,0,0,0,0,0
7,1765218512460,0,0,0,0,0,0,0,0
8,1765218514044,0,0,0,0,0,0,0,0
9,1765218514244,0,0,0,0,0,0,0,0
10,1765218515843,0,0,0,0,0,0,0,0
11,1765218517593,0,0,0,0,0,0,0,0
12,1765218519327,0,0,0,0,0,0,0,0
13,1765218524593,0,0,0,0,0,0,0,0
14,1765218524710,0,0,0,0,0,0,0,0
15,1765218526310,0,0,0,0,0,0,0,0
16,1765218528143,0,0,0,0,0,0,0,0
17,1765218529927,0,0,0,0,0,0,0,0
18,1765218531644,0,0,0,0,0,0,0,0
19,1765218534961,0,0,0,0,0,0,0,0
20,1765218536730,0,0,0,0,0,0,0,0
21,1765218538262,0,0,0,0,0,0,0,0
22,1765218538428,0,0,0,0,0,0,0,0
23,1765218540078,0,0,0,0,0,0,0,0
24,1765218540227,0,0,0,0,0,0,0,0
25,1765218541794,0,0,0,0,0,0,0,0
26,1765218543593,0,0,0,0,0,0,0,0
27,1765218545310,0,0,0,0,0,0,0,0
28,1765218546911,0,0,0,0,0,0,0,0
29,1765218547044,0,0,0,0,0,0,0,0
30,1765218548644,0,0,0,0,0,0,0,0
31,1765218550395,0,0,0,0,0,0,0,0
32,1765218553744,0,0,0,0,0,0,0,0
33,1765218553911,0,0,0,0,0,0,0,0
34,1765218555609,0,0,0,0,0,0,0,0
35,1765218555759,0,0,0,0,0,0,0,0
36,1765218557545,0,0,0,0,0,0,0,0
37,1765218559226,0,0,0,0,0,0,0,0
38,1765218559378,0,0,0,0,0,0,0,0
39,1765218561043,0,0,0,0,0,0,0,0
40,1765218563009,0,0,0,0,0,0,0,0
41,1765218563227,0,0,0,0,0,0,0,0
42,1765218565060,0,0,0,0,0,0,0,0
43,1765218566661,0,0,0,0,0,0,0,0
44,1765218566844,0,0,0,0,0,0,0,0
45,1765218568375,0,0,0,0,0,0,0,0
46,1765218572359,0,0,0,0,0,0,0,0
47,1765218573592,0,0,0,0,0,0,0,0
48,1765218574743,0,0,0,0,0,0,0,0
49,1765218575959,0,0,0,0,0,0,0,0
50,1765218577142,0,0,0,0,0,0,0,0
51,1765218578159,0,0,0,0,0,0,0,0
52,1765218578309,0,0,0,0,0,0,0,0
53,1765218579926,0,0,0,0,0,0,0,0
54,1765218581575,0,0,0,0,0,0,0,0
55,1765218583194,0,0,0,0,0,0,0,0
56,1765218583326,0,0,0,0,0,0,0,0
57,1765218584911,0,0,0,0,0,0,0,0
58,1765218586661,0,0,0,0,0,0,0,0
59,1765218590010,0,0,0,0,0,0,0,0
60,1765218591775,0,0,0,0,0,0,0,0
