index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
0,1765218499644,0,0,312,0,0,0,0,0
1,1765218500077,0,0,312,0,0,0,0,0
2,1765218500376,0,0,312,0,0,0,0,0
3,1765218500478,0,0,312,0,0,0,0,0
4,1765218500793,0,0,312,0,0,0,0,0
5,1765218501177,0,0,312,0,0,0,0,0
6,1765218501527,0,0,312,0,0,0,0,0
7,1765218501909,0,0,312,0,0,0,0,0
8,1765218502193,0,0,312,0,0,0,0,0
9,1765218502626,0,0,312,0,0,0,0,0
10,1765218502910,0,0,312,0,0,0,0,0
11,1765218503027,0,0,312,0,0,0,0,0
12,1765218503377,0,0,312,0,0,0,0,0
13,1765218503777,0,0,312,0,0,0,0,0
14,1765218504076,0,0,312,0,0,0,0,0
15,1765218504193,0,0,312,0,0,0,0,0
16,1765218504460,0,0,312,0,0,0,0,0
17,1765218504793,0,0,312,0,0,0,0,0
18,1765218504893,0,0,312,0,0,0,0,0
19,1765218505209,0,0,312,0,0,0,0,0
20,1765218505576,0,0,312,0,0,0,0,0
21,1765218505910,0,0,312,0,0,0,0,0
22,1765218506293,0,0,312,0,0,0,0,0
23,1765218506627,0,0,312,0,0,0,0,0
24,1765218506743,0,0,313,0,0,0,0,0
25,1765218507027,0,0,313,0,0,0,0,0
26,1765218507476,0,0,313,0,0,0,0,0
27,1765218507759,0,0,313,0,0,0,0,0
28,1765218508193,0,0,313,0,0,0,0,0
29,1765218508511,0,0,313,0,0,0,0,0
30,1765218508627,0,0,315,0,0,0,0,0
31,1765218508910,0,0,315,0,0,0,0,0
32,1765218509327,0,0,315,0,0,0,0,0
33,1765218509610,0,0,315,0,0,0,0,0
34,1765218510061,0,0,315,0,0,0,0,0
35,1765218510359,0,0,315,0,0,0,0,0
36,1765218510461,0,0,315,0,0,0,0,0
37,1765218510760,0,0,315,0,0,0,0,0
38,1765218511044,0,0,315,0,0,0,0,0
39,1765218511161,0,0,315,0,0,0,0,0
40,1765218511476,0,0,315,0,0,0,0,0
41,1765218511911,0,0,315,0,0,0,0,0
42,1765218512210,0,0,315,0,0,0,0,0
43,1765218512610,0,0,315,0,0,0,0,0
44,1765218512894,0,0,315,0,0,0,0,0
45,1765218513028,0,0,315,0,0,0,0,0
46,1765218513360,0,0,315,0,0,0,0,0
47,1765218513761,0,0,315,0,0,0,0,0
48,1765218514093,0,0,315,0,0,0,0,0
49,1765218514493,0,0,315,0,0,0,0,0
50,1765218514793,0,0,315,0,0,0,0,0
51,1765218514927,0,0,315,0,0,0,0,0
52,1765218515260,0,0,315,0,0,0,0,0
53,1765218515677,0,0,315,0,0,0,0,0
54,1765218515993,0,0,315,0,0,0,0,0
55,1765218516111,0,0,315,0,0,0,0,0
56,1765218516376,0,0,315,0,0,0,0,0
57,1765218516844,0,0,315,0,0,0,0,0
58,1765218517128,0,0,315,0,0,0,0,0
59,1765218517528,0,0,315,0,0,0,0,0
60,1765218517860,0,0,315,0,0,0,0,0
61,1765218517960,0,0,315,0,0,0,0,0
62,1765218518244,0,0,315,0,0,0,0,0
63,1765218518711,0,0,315,0,0,0,0,0
64,1765218518993,0,0,315,0,0,0,0,0
65,1765218519443,0,0,315,0,0,0,0,0
66,1765218519726,0,0,315,0,0,0,0,0
67,1765218520209,0,0,315,0,0,0,0,0
68,1765218521026,0,0,315,0,0,0,0,0
69,1765218521760,0,0,315,0,0,0,0,0
70,1765218522127,0,-128,15076,10,0,0,0,0
71,1765218522282,0,0,315,0,0,0,0,0
72,1765218523010,0,0,315,0,0,0,0,0
73,1765218523294,0,0,315,0,0,0,0,0
74,1765218523727,0,0,315,0,0,0,0,0
75,1765218524026,0,0,315,0,0,0,0,0
76,1765218524160,0,0,315,0,0,0,0,0
77,1765218524443,0,0,315,0,0,0,0,0
78,1765218524877,0,0,315,0,0,0,0,0
79,1765218525176,0,0,315,0,0,0,0,0
80,1765218525310,0,0,315,0,0,0,0,0
81,1765218525626,0,0,315,0,0,0,0,0
82,1765218526043,0,0,315,0,0,0,0,0
83,1765218526360,0,0,315,0,0,0,0,0
84,1765218526793,0,0,315,0,0,0,0,0
85,1765218527093,0,0,315,0,0,0,0,0
86,1765218527227,0,0,315,0,0,0,0,0
87,1765218527576,0,0,315,0,0,0,0,0
88,1765218527993,0,0,315,0,0,0,0,0
89,1765218528311,0,0,315,0,0,0,0,0
90,1765218528443,0,0,315,0,0,0,0,0
91,1765218528726,0,0,315,0,0,0,0,0
92,1765218529193,0,0,315,0,0,0,0,0
93,1765218529477,0,0,315,0,0,0,0,0
94,1765218529610,0,0,315,0,0,0,0,0
95,1765218529894,0,0,315,0,0,0,0,0
96,1765218530193,0,0,315,0,0,0,0,0
97,1765218530326,0,0,315,0,0,0,0,0
98,1765218530593,0,0,315,0,0,0,0,0
99,1765218531061,0,0,315,0,0,0,0,0
100,1765218531344,0,0,315,0,0,0,0,0
101,1765218531460,0,0,315,0,0,0,0,0
102,1765218531777,0,0,315,0,0,0,0,0
103,1765218532078,0,0,315,0,0,0,0,0
104,1765218532177,0,0,315,0,0,0,0,0
105,1765218532510,0,0,315,0,0,0,0,0
106,1765218532909,0,0,315,0,0,0,0,0
107,1765218533193,0,0,315,0,0,0,0,0
108,1765218533611,0,0,315,0,0,0,0,0
109,1765218533911,0,0,315,0,0,0,0,0
110,1765218534028,0,0,315,0,0,0,0,0
111,1765218534361,0,0,315,0,0,0,0,0
112,1765218534761,0,0,315,0,0,0,0,0
113,1765218535078,0,0,315,0,0,0,0,0
114,1765218535478,0,0,315,0,0,0,0,0
115,1765218535827,0,0,315,0,0,0,0,0
116,1765218535927,0,0,315,0,0,0,0,0
117,1765218536228,0,0,315,0,0,0,0,0
118,1765218536644,0,0,315,0,0,0,0,0
119,1765218536965,0,0,315,0,0,0,0,0
120,1765218537344,0,0,315,0,0,0,0,0
121,1765218537811,0,0,315,0,0,0,0,0
122,1765218538093,0,0,315,0,0,0,0,0
123,1765218538527,0,0,315,0,0,0,0,0
124,1765218538811,0,0,315,0,0,0,0,0
125,1765218539243,0,0,315,0,0,0,0,0
126,1765218539544,0,0,315,0,0,0,0,0
127,1765218539677,0,0,315,0,0,0,0,0
128,1765218539962,0,0,315,0,0,0,0,0
129,1765218540395,0,0,315,0,0,0,0,0
130,1765218540677,0,0,315,0,0,0,0,0
131,1765218540828,0,0,315,0,0,0,0,0
132,1765218541144,0,0,315,0,0,0,0,0
133,1765218541562,0,0,315,0,0,0,0,0
134,1765218541878,0,0,315,0,0,0,0,0
135,1765218542260,0,0,315,0,0,0,0,0
136,1765218542609,0,0,315,0,0,0,0,0
137,1765218542676,0,0,315,0,0,0,0,0
138,1765218543027,0,0,315,0,0,0,0,0
139,1765218543294,0,0,315,0,0,0,0,0
140,1765218543427,0,0,315,0,0,0,0,0
141,1765218543743,0,0,315,0,0,0,0,0
142,1765218544143,0,0,315,0,0,0,0,0
143,1765218544493,0,0,315,0,0,0,0,0
144,1765218544626,0,0,315,0,0,0,0,0
