index,date,ALTITUDE,GROUND_SPEED,FIX
0,1780260953845,65408,0,0
1,1780260954463,65406,0,0
2,1780260954512,65412,0,0
3,1780260954929,65414,0,0
4,1780260955163,65406,0,0
5,1780260956162,65418,0,0
6,1780260957229,65414,0,0
7,1780260958178,65414,0,0
8,1780260958794,65404,0,0
9,1780260959165,65408,0,0
10,1780260959496,65414,0,0
11,1780260959961,65408,0,0
12,1780260960411,65406,0,0
13,1780260961228,65408,0,0
14,1780260961561,65414,0,0
15,1780260962061,65408,0,0
16,1780260962179,65414,0,0
17,1780260963546,65406,0,0
18,1780260963794,65410,0,0
19,1780260963994,65414,0,0
20,1780260964044,65410,0,0
21,1780260965029,65416,0,0
22,1780260965446,65418,0,0
23,1780260966228,65418,0,0
24,1780260967828,65414,0,0
25,1780260968128,65410,0,0
26,1780260968661,65414,0,0
27,1780260968995,65425,0,0
28,1780260970061,65425,0,0
29,1780260971346,65416,0,0
30,1780260971910,65412,0,0
31,1780260972494,65412,0,0
32,1780260973111,65414,0,0
33,1780260973312,65410,0,0
34,1780260974678,65416,0,0
35,1780260974927,65418,0,0
36,1780260975261,65421,0,0
37,1780260976364,65414,0,0
38,1780260977395,65416,0,0
39,1780260978879,65401,0,0
40,1780260979261,65406,0,0
41,1780260979828,65412,0,0
42,1780260980828,65412,0,0
43,1780260981027,65410,0,0
44,1780260981244,65414,0,0
45,1780260981727,65418,0,0
46,1780260983627,65418,0,0
47,1780260983793,65431,0,0
48,1780260985644,65410,0,0
49,1780260987294,65414,0,0
50,1780260987377,65416,0,0
51,1780260987678,65418,0,0
52,1780260988078,65421,0,0
53,1780260988327,65410,0,0
54,1780260989493,65412,0,0
55,1780260991379,65412,0,0
56,1780260991794,65406,0,0
57,1780260992077,65410,0,0
58,1780260992576,65416,0,0
59,1780260993976,65412,0,0
60,1780260994143,65409,0,0
61,1780260995060,65418,0,0
62,1780260995343,65412,0,0
63,1780260995626,65406,0,0
64,1780260997028,65404,0,0
65,1780260998512,65402,0,0
66,1780260998926,65408,0,0
67,1780260999060,65406,0,0
68,1780260999678,65410,0,0
69,1780260999710,65406,0,0
70,1780261001359,65418,0,0
71,1780261002643,65408,0,0
72,1780261002893,65412,0,0
73,1780261003259,65412,0,0
74,1780261003343,65412,0,0
75,1780261003426,65406,0,0
76,1780261003792,65406,0,0
77,1780261003926,65412,0,0
78,1780261004376,65404,0,0
79,1780261005276,65408,0,0
80,1780261005526,65412,0,0
81,1780261006026,65418,0,0
82,1780261007759,65408,0,0
83,1780261007927,65408,0,0
84,1780261008742,65408,0,0
85,1780261009359,65406,0,0
86,1780261009859,65406,0,0
87,1780261010760,65410,0,0
88,1780261011427,65412,0,0
89,1780261011592,65406,0,0
90,1780261011759,65414,0,0
91,1780261012177,65404,0,0
92,1780261012542,65406,0,0
93,1780261013658,65410,0,0
94,1780261013776,65408,0,0
95,1780261016292,65414,0,0
96,1780261016425,65407,0,0
97,1780261018975,65421,0,0
98,1780261019258,65408,0,0
99,1780261019627,65399,0,0
100,1780261020092,65410,0,0
