index,date,LONGITUDE
0,1780260953779,-43.9747
1,1780260953979,-43.9747
2,1780260954729,-43.9747
3,1780260955095,-43.9747
4,1780260956745,-43.9747
5,1780260958096,-43.9747
6,1780260958845,-43.9747
7,1780260959294,-43.9747
8,1780260961078,-43.9747
9,1780260961778,-43.9747
10,1780260963511,-43.9747
11,1780260967145,-43.9747
12,1780260967594,-43.9747
13,1780260972378,-43.9747
14,1780260979094,-43.975
15,1780260983093,-43.975
16,1780260986194,-43.9749
17,1780260996910,-43.9749
18,1780260999093,-43.9751
19,1780261003727,-43.9749
20,1780261004459,-43.9749
21,1780261008008,-43.9748
22,1780261010476,-43.9747
23,1780261011559,-43.9747
24,1780261011809,-43.9747
25,1780261014808,-43.9747
26,1780261015425,-43.9747
27,1780261018409,-43.9747
28,1780261019841,-43.9747
29,1780261023192,-43.9748
30,1780261023976,-43.9748
31,1780261033124,-43.9748
32,1780261034274,-43.9748
33,1780261037990,-43.9747
34,1780261039357,-43.9747
35,1780261044423,-43.9747
36,1780261045257,-43.9748
37,1780261045623,-43.9748
38,1780261045823,-43.9748
39,1780261046774,-43.9748
40,1780261046991,-43.9748
41,1780261047723,-43.9749
42,1780261049542,-43.975
43,1780261050290,429.497
44,1780261052390,-43.975
45,1780261052640,-43.975
46,1780261053508,-1e-07
47,1780261055323,-43.9748
48,1780261057673,-43.9747
49,1780261057956,-43.9747
50,1780261058072,-43.9747
51,1780261059639,-43.9747
52,1780261066540,-43.9747
53,1780261066822,-43.9747
54,1780261067606,-43.9747
55,1780261069455,-43.9747
56,1780261070122,-43.9747
57,1780261070939,-43.9747
58,1780261071889,-43.9747
59,1780261072589,-43.9747
60,1780261073338,-43.9747
61,1780261074622,-43.9747
62,1780261075105,-43.9747
63,1780261079273,-43.9747
64,1780261079655,-43.9747
65,1780261090287,-43.9747
66,1780261091937,-43.9747
67,1780261098287,-43.9747
68,1780261098671,-43.9747
69,1780261100854,-43.9749
70,1780261101804,-43.9749
71,1780261101837,-43.9749
72,1780261102420,-43.9749
73,1780261102753,-43.9748
74,1780261103070,-43.9748
75,1780261104154,-43.9748
76,1780261104521,-43.9747
77,1780261106287,-43.9747
78,1780261108637,-43.9747
79,1780261114137,-43.9749
80,1780261115286,-43.9749
81,1780261118503,-43.9747
82,1780261119286,-43.9747
83,1780261121919,-43.9747
84,1780261129552,-43.975
85,1780261129769,-43.9749
86,1780261131735,-43.9749
87,1780261132202,-43.9748
88,1780261135455,-43.9747
89,1780261145968,-43.9747
90,1780261152317,-43.9749
91,1780261152901,-43.9749
92,1780261155584,-43.9749
93,1780261156367,-43.9749
94,1780261159597,-43.9749
95,1780261160201,-43.9749
96,1780261160450,-43.9749
97,1780261162133,-43.9749
98,1780261165034,-43.9747
99,1780261168400,-43.9747
100,1780261168783,-43.9747
101,1780261175250,-43.9748
102,1780261177483,-43.975
103,1780261178299,-43.975
104,1780261179832,-43.9751
105,1780261184732,-43.9748
106,1780261185033,-43.9748
107,1780261186433,-43.9747
108,1780261188582,-43.9746
109,1780261191249,-43.9748
110,1780261191716,-43.9748
111,1780261196332,-43.9749
112,1780261199048,-43.9748
113,1780261199632,-43.9748
114,1780261201115,-43.9748
115,1780261212947,-43.9748
116,1780261215665,-43.9748
117,1780261216247,-43.9748
118,1780261217864,-43.9748
119,1780261222230,-43.9748
120,1780261222764,-43.9748
121,1780261228463,-43.9748
122,1780261230198,-43.9748
123,1780261230447,-43.9748
124,1780261231263,-43.9748
125,1780261240045,-43.9748
126,1780261242397,-43.9748
127,1780261246363,-43.9748
128,1780261248579,-43.9748
129,1780261615458,-43.9747
130,1780261616208,-43.9748
131,1780261617491,-43.9748
132,1780261621191,-43.9748
133,1780261622975,-43.9748
134,1780261626807,-43.9748
135,1780261627674,-43.9748
136,1780261633690,-43.9748
137,1780261634157,-43.9748
138,1780261636456,-43.9748
139,1780261638723,-43.9748
140,1780261639306,-43.9748
141,1780261640007,-43.9748
142,1780261642204,-43.9748
143,1780261644256,-43.9748
144,1780261646273,-43.9748
145,1780261647139,-43.9748
146,1780261650355,-43.9748
147,1780261659022,-43.9748
148,1780261659138,-43.9748
149,1780261659606,-43.9748
150,1780261661205,-43.9748
151,1780261661990,-43.9748
152,1780261664138,-43.9748
153,1780261674938,-43.9749
154,1780261678037,-43.9749
155,1780261679270,-43.9749
156,1780261682454,-43.9748
157,1780261683971,-43.9748
158,1780261684521,-43.9748
159,1780261686337,-43.9748
160,1780261687770,-43.9748
161,1780261688887,-43.9748
162,1780261692886,-43.9748
163,1780261693336,-43.9748
164,1780261697053,-43.9748
165,1780261698087,-43.9748
166,1780261701553,-43.9748
167,1780261702536,-43.9748
168,1780261703403,-43.9748
169,1780261704436,-43.9748
170,1780261705720,-43.9748
171,1780261705886,-43.9748
172,1780261708636,-43.9748
