index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1762969984526,3.16,3.26,3.25,3.26,0,0,0,0
1,1762969985108,3.24,3.26,3.25,3.26,0,0,0,0
2,1762969985458,3.16,3.26,3.25,3.26,0,0,0,0
3,1762969986374,3.15,3.26,3.25,3.26,0,0,0,0
4,1762969986823,3.16,3.26,3.25,3.26,0,0,0,0
5,1762969987274,3.16,3.26,3.25,3.26,0,0,0,0
6,1762969987740,3.25,3.26,3.25,3.26,0,0,0,0
7,1762969988641,3.16,3.26,3.25,3.26,0,0,0,0
8,1762969990089,3.25,3.26,3.25,3.26,0,0,0,0
9,1762969990471,3.16,3.26,3.25,3.26,0,0,0,0
10,1762969991372,3.16,3.26,3.25,3.26,0,0,0,0
11,1762969991888,3.25,3.26,3.25,3.26,0,0,0,0
12,1762969992304,3.16,3.26,3.25,3.26,0,0,0,0
13,1762969992753,3.16,3.26,3.25,3.26,0,0,0,0
14,1762969993220,3.16,3.26,3.25,3.26,0,0,0,0
15,1762969993652,3.25,3.26,3.25,3.26,0,0,0,0
16,1762969994101,3.16,3.26,3.25,3.26,0,0,0,0
17,1762969994569,3.16,3.26,3.25,3.26,0,0,0,0
18,1762969995136,3.16,3.26,3.25,3.26,0,0,0,0
19,1762969995469,3.16,3.26,3.25,3.26,0,0,0,0
20,1762969996035,3.25,3.26,3.25,3.26,0,0,0,0
21,1762969996399,3.16,3.26,3.25,3.26,0,0,0,0
22,1762969996916,3.24,3.26,3.25,3.26,0,0,0,0
23,1762969997299,3.16,3.26,3.25,3.26,0,0,0,0
24,1762969997817,3.16,3.26,3.25,3.26,0,0,0,0
25,1762969998234,3.15,3.26,3.25,3.26,0,0,0,0
26,1762969998665,3.25,3.26,3.25,3.26,0,0,0,0
27,1762970000098,3.16,3.26,3.25,3.26,0,0,0,0
28,1762970000499,3.25,3.26,3.25,3.26,0,0,0,0
29,1762970001064,3.16,3.26,3.25,3.26,0,0,0,0
30,1762970001413,3.25,3.26,3.25,3.26,0,0,0,0
31,1762970002029,3.16,3.26,3.25,3.26,0,0,0,0
32,1762970002314,3.16,3.26,3.25,3.26,0,0,0,0
33,1762970003229,3.25,3.26,3.25,3.26,0,0,0,0
34,1762970003679,3.16,3.26,3.25,3.26,0,0,0,0
35,1762970004215,3.24,3.26,3.25,3.26,0,0,0,0
36,1762970004611,3.16,3.26,3.25,3.26,0,0,0,0
37,1762970006410,3.24,3.26,3.25,3.26,0,0,0,0
38,1762970006942,3.16,3.26,3.25,3.26,0,0,0,0
39,1762970007342,3.25,3.26,3.25,3.26,0,0,0,0
40,1762970007858,3.16,3.26,3.25,3.26,0,0,0,0
41,1762970008241,3.16,3.26,3.25,3.26,0,0,0,0
42,1762970009257,3.24,3.26,3.25,3.26,0,0,0,0
43,1762970009591,3.16,3.26,3.25,3.26,0,0,0,0
44,1762970010207,3.24,3.26,3.25,3.26,0,0,0,0
45,1762970010523,3.16,3.26,3.25,3.26,0,0,0,0
46,1762970011123,3.16,3.26,3.25,3.26,0,0,0,0
47,1762970011988,3.24,3.26,3.25,3.26,0,0,0,0
48,1762970012338,3.16,3.26,3.25,3.26,0,0,0,0
49,1762970012823,3.24,3.26,3.25,3.26,0,0,0,0
50,1762970013304,3.16,3.26,3.25,3.26,0,0,0,0
51,1762970013703,3.16,3.26,3.25,3.26,0,0,0,0
52,1762970014321,3.16,3.26,3.25,3.26,0,0,0,0
53,1762970015202,3.18,3.26,3.25,3.26,0,0,0,0
54,1762970015535,3.16,3.26,3.25,3.26,0,0,0,0
55,1762970016003,3.24,3.26,3.25,3.26,0,0,0,0
56,1762970016434,3.16,3.26,3.25,3.26,0,0,0,0
57,1762970017000,3.16,3.26,3.25,3.26,0,0,0,0
58,1762970017350,3.16,3.26,3.25,3.26,0,0,0,0
59,1762970017884,3.25,3.26,3.25,3.26,0,0,0,0
60,1762970018733,3.25,3.26,3.25,3.26,0,0,0,0
61,1762970019233,3.15,3.26,3.25,3.26,0,0,0,0
62,1762970019617,3.16,3.26,3.25,3.26,0,0,0,0
63,1762970020099,3.16,3.26,3.25,3.26,0,0,0,0
64,1762970020547,3.24,3.26,3.25,3.26,0,0,0,0
65,1762970021083,3.16,3.26,3.25,3.26,0,0,0,0
66,1762970021448,3.16,3.26,3.25,3.26,0,0,0,0
67,1762970021998,3.16,3.26,3.25,3.26,0,0,0,0
68,1762970022380,3.24,3.26,3.25,3.26,0,0,0,0
69,1762970025129,3.24,3.26,3.25,3.26,0,0,0,0
70,1762970025561,3.16,3.26,3.25,3.26,0,0,0,0
71,1762970026128,3.24,3.26,3.25,3.26,0,0,0,0
72,1762970026928,3.16,3.26,3.25,3.26,0,0,0,0
73,1762970027376,3.25,3.26,3.25,3.26,0,0,0,0
74,1762970027909,3.16,3.26,3.25,3.26,0,0,0,0
75,1762970028742,3.16,3.26,3.25,3.26,0,0,0,0
76,1762970029225,3.25,3.26,3.25,3.26,0,0,0,0
77,1762970029675,3.16,3.26,3.25,3.26,0,0,0,0
78,1762970030124,3.16,3.26,3.25,3.26,0,0,0,0
79,1762970030573,3.15,3.26,3.25,3.26,0,0,0,0
80,1762970031056,3.25,3.26,3.25,3.26,0,0,0,0
81,1762970033771,3.24,3.26,3.25,3.26,0,0,0,0
82,1762970034222,3.16,3.26,3.25,3.26,0,0,0,0
83,1762970034670,3.25,3.26,3.25,3.26,0,0,0,0
84,1762970035570,3.16,3.26,3.25,3.26,0,0,0,0
85,1762970036036,3.16,3.26,3.25,3.26,0,0,0,0
86,1762970037868,3.15,3.26,3.25,3.26,0,0,0,0
87,1762970038368,3.16,3.26,3.25,3.26,0,0,0,0
88,1762970038767,3.16,3.26,3.25,3.26,0,0,0,0
89,1762970039217,3.25,3.26,3.25,3.26,0,0,0,0
90,1762970039683,3.16,3.26,3.25,3.26,0,0,0,0
91,1762970040133,3.16,3.26,3.25,3.26,0,0,0,0
92,1762970040599,3.16,3.26,3.25,3.26,0,0,0,0
93,1762970041098,3.24,3.26,3.25,3.26,0,0,0,0
94,1762970041965,3.24,3.26,3.25,3.26,0,0,0,0
95,1762970042882,3.16,3.26,3.25,3.26,0,0,0,0
96,1762970043431,3.16,3.26,3.25,3.26,0,0,0,0
97,1762970043847,3.16,3.26,3.25,3.26,0,0,0,0
98,1762970046528,3.16,3.26,3.25,3.26,0,0,0,0
99,1762970046994,3.25,3.26,3.25,3.26,0,0,0,0
100,1762970047910,3.24,3.26,3.25,3.26,0,0,0,0
101,1762970048860,3.24,3.26,3.25,3.26,0,0,0,0
102,1762970050194,3.24,3.26,3.25,3.26,0,0,0,0
103,1762970050623,3.16,3.26,3.25,3.26,0,0,0,0
104,1762970051073,3.25,3.26,3.25,3.26,0,0,0,0
105,1762970051524,3.16,3.26,3.25,3.26,0,0,0,0
106,1762970051989,3.25,3.26,3.25,3.26,0,0,0,0
107,1762970052472,3.18,3.26,3.25,3.26,0,0,0,0
108,1762970052938,3.25,3.26,3.25,3.26,0,0,0,0
109,1762970053374,3.18,3.26,3.25,3.26,0,0,0,0
110,1762970053887,3.16,3.26,3.25,3.26,0,0,0,0
