index,date,CELL_1,CELL_2,CELL_3,CELL_4
0,1780264173885,3.28,3.28,3.28,3.28
1,1780264174546,3.28,3.28,3.28,3.28
2,1780264176696,3.28,3.28,3.28,3.28
3,1780264177062,3.28,3.28,3.28,3.28
4,1780264179162,3.28,3.28,3.28,3.28
5,1780264185529,3.28,3.28,3.28,3.28
6,1780264185680,3.28,3.28,3.28,3.28
7,1780264189361,0.03,0.03,0.03,0.03
8,1780264191213,3.28,3.28,3.28,3.28
9,1780264197477,3.11,2.82,2.27,3.22
10,1780264204243,0.03,0.03,0.03,0.03
11,1780264205610,3.24,3.23,3.24,3.27
12,1780264210426,3.25,3.24,3.25,3.27
13,1780264215176,0.03,0.03,0.03,0.03
14,1780264215793,3.26,3.25,3.25,3.27
15,1780264216826,3.26,3.25,3.25,3.27
16,1780264219509,3.26,3.25,3.26,3.27
17,1780264227510,3.26,3.26,3.26,3.27
18,1780264228176,0.03,0.03,0.03,0.03
19,1780264232376,3.26,3.26,3.26,3.27
20,1780264233442,3.26,3.26,3.26,3.27
21,1780264234060,3.26,3.26,3.26,3.27
22,1780264235792,0.03,0.03,0.03,0.03
23,1780264245208,3.27,3.26,3.27,3.27
24,1780264248958,0.03,0.03,0.03,0.03
25,1780264254191,3.27,3.27,3.27,3.27
26,1780264255475,3.27,3.27,3.27,3.27
27,1780264256991,3.27,3.27,3.27,3.28
28,1780264260874,3.27,3.27,3.27,3.28
29,1780264265290,3.27,3.27,3.27,3.28
30,1780264267390,3.27,3.27,3.27,3.28
31,1780264268090,3.27,3.27,3.27,3.28
32,1780264268174,3.27,3.27,3.27,3.28
33,1780264274323,3.27,3.27,3.27,3.28
34,1780264275440,3.27,3.27,3.27,3.28
35,1780264275523,3.27,3.27,3.27,3.28
36,1780264276006,3.27,3.27,3.27,3.28
37,1780264280840,3.27,3.27,3.27,3.28
38,1780264283022,3.27,3.27,3.27,3.28
39,1780264290240,3.27,3.27,3.27,3.28
40,1780264290905,3.27,3.27,3.27,3.28
41,1780264291438,3.27,3.27,3.27,3.28
42,1780264292422,3.27,3.27,3.27,3.28
43,1780264294038,3.27,3.27,3.27,3.28
44,1780264294938,3.27,3.27,3.27,3.28
45,1780264295939,3.27,3.27,3.27,3.28
46,1780264299355,3.27,3.27,3.27,3.28
47,1780264301906,3.27,3.27,3.28,3.28
48,1780264302705,3.27,3.27,3.28,3.28
49,1780264305005,3.27,3.27,3.28,3.28
50,1780264306372,3.27,3.27,3.28,3.28
51,1780264307605,3.27,3.27,3.28,3.28
52,1780264309005,3.27,3.27,3.28,3.28
53,1780264311271,3.27,3.27,3.28,3.28
54,1780264316222,3.27,3.27,3.28,3.28
55,1780264316522,3.27,3.27,3.28,3.28
56,1780264317254,3.27,3.27,3.28,3.28
57,1780264319237,0.03,0.03,0.03,0.03
58,1780264321337,3.27,3.27,3.28,3.28
59,1780264322171,0.03,0.03,0.03,0.03
