index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1762968054485,3.32,3.32,3.32,3.32,0,0,0,0
1,1762968055835,3.32,3.32,3.32,3.32,0,0,0,0
2,1762968056334,3.32,3.32,3.32,3.32,0,0,0,0
3,1762968056751,3.32,3.32,3.32,3.32,0,0,0,0
4,1762968057200,3.32,3.32,3.32,3.32,0,0,0,0
5,1762968058117,3.32,3.32,3.32,3.32,0,0,0,0
6,1762968059032,3.32,3.32,3.32,3.32,0,0,0,0
7,1762968059482,3.32,3.32,3.32,3.32,0,0,0,0
8,1762968059932,3.32,3.32,3.32,3.32,0,0,0,0
9,1762968060414,3.32,3.32,3.32,3.32,0,0,0,0
10,1762968060847,3.32,3.32,3.32,3.32,0,0,0,0
11,1762968061330,3.32,3.32,3.32,3.32,0,0,0,0
12,1762968062196,3.32,3.32,3.32,3.32,0,0,0,0
13,1762968062679,3.32,3.32,3.32,3.32,0,0,0,0
14,1762968063611,3.32,3.32,3.32,3.32,0,0,0,0
15,1762968064960,3.32,3.32,3.32,3.32,0,0,0,0
16,1762968065410,3.32,3.32,3.32,3.32,0,0,0,0
17,1762968065860,3.32,3.32,3.32,3.32,0,0,0,0
18,1762968067708,3.32,3.32,3.32,3.32,0,0,0,0
19,1762968068592,3.32,3.32,3.32,3.32,0,0,0,0
20,1762968069040,3.32,3.32,3.32,3.32,0,0,0,0
21,1762968071323,3.32,3.32,3.32,3.32,0,0,0,0
22,1762968071789,3.32,3.32,3.32,3.32,0,0,0,0
23,1762968072237,3.32,3.32,3.32,3.32,0,0,0,0
24,1762968072688,3.32,3.32,3.32,3.32,0,0,0,0
25,1762968073154,3.32,3.32,3.32,3.32,0,0,0,0
26,1762968073637,3.32,3.32,3.32,3.32,0,0,0,0
27,1762968074070,3.32,3.32,3.32,3.32,0,0,0,0
28,1762968074970,3.32,3.32,3.32,3.32,0,0,0,0
29,1762968075869,3.32,3.32,3.32,3.32,0,0,0,0
30,1762968076351,3.32,3.32,3.32,3.32,0,0,0,0
31,1762968076818,3.32,3.32,3.32,3.32,0,0,0,0
32,1762968077749,3.32,3.32,3.32,3.32,0,0,0,0
33,1762968078165,3.32,3.32,3.32,3.32,0,0,0,0
34,1762968078616,3.32,3.32,3.32,3.32,0,0,0,0
35,1762968079048,3.32,3.32,3.32,3.32,0,0,0,0
36,1762968080880,3.32,3.32,3.32,3.32,0,0,0,0
37,1762968081330,3.32,3.32,3.32,3.32,0,0,0,0
38,1762968082696,3.32,3.32,3.32,3.32,0,0,0,0
39,1762968083612,3.32,3.32,3.32,3.32,0,0,0,0
40,1762968084079,3.32,3.32,3.32,3.32,0,0,0,0
41,1762968084528,3.32,3.32,3.32,3.32,0,0,0,0
42,1762968084977,3.32,3.32,3.32,3.32,0,0,0,0
43,1762968085444,3.32,3.32,3.32,3.32,0,0,0,0
44,1762968085877,3.32,3.32,3.32,3.32,0,0,0,0
45,1762968087726,3.32,3.32,3.32,3.32,0,0,0,0
46,1762968088624,3.32,3.32,3.32,3.32,0,0,0,0
47,1762968089073,3.32,3.32,3.32,3.32,0,0,0,0
48,1762968090455,3.32,3.32,3.32,3.32,0,0,0,0
49,1762968090905,3.32,3.32,3.32,3.32,0,0,0,0
50,1762968091821,3.32,3.32,3.32,3.32,0,0,0,0
51,1762968092271,3.32,3.32,3.32,3.32,0,0,0,0
52,1762968092737,3.32,3.32,3.32,3.32,0,0,0,0
53,1762968093187,3.32,3.32,3.32,3.32,0,0,0,0
54,1762968093636,3.32,3.32,3.32,3.32,0,0,0,0
55,1762968094086,3.32,3.32,3.32,3.32,0,0,0,0
56,1762968094552,3.32,3.32,3.32,3.32,0,0,0,0
57,1762968095002,3.32,3.32,3.32,3.32,0,0,0,0
58,1762968095451,3.32,3.32,3.32,3.32,0,0,0,0
59,1762968096367,3.32,3.32,3.32,3.32,0,0,0,0
60,1762968097283,3.32,3.32,3.32,3.32,0,0,0,0
61,1762968097750,3.32,3.32,3.32,3.32,0,0,0,0
62,1762968098183,3.32,3.32,3.32,3.32,0,0,0,0
63,1762968098649,3.32,3.32,3.32,3.32,0,0,0,0
64,1762968099098,3.32,3.32,3.32,3.32,0,0,0,0
65,1762968099565,3.32,3.32,3.32,3.32,0,0,0,0
66,1762968100015,3.32,3.32,3.32,3.32,0,0,0,0
67,1762968100914,3.32,3.32,3.32,3.32,0,0,0,0
68,1762968101379,3.32,3.32,3.32,3.32,0,0,0,0
69,1762968101830,3.32,3.32,3.32,3.32,0,0,0,0
70,1762968102279,3.32,3.32,3.32,3.32,0,0,0,0
71,1762968103211,3.32,3.32,3.32,3.32,0,0,0,0
72,1762968103694,3.32,3.32,3.32,3.32,0,0,0,0
73,1762968104111,3.32,3.32,3.32,3.32,0,0,0,0
74,1762968105010,3.32,3.32,3.32,3.32,0,0,0,0
75,1762968105477,3.32,3.32,3.32,3.32,0,0,0,0
76,1762968106876,3.32,3.32,3.32,3.32,0,0,0,0
77,1762968107292,3.32,3.32,3.32,3.32,0,0,0,0
78,1762968107757,3.32,3.32,3.32,3.32,0,0,0,0
79,1762968108191,3.32,3.32,3.32,3.32,0,0,0,0
80,1762968113736,3.32,3.32,3.32,3.32,0,0,0,0
81,1762968114136,3.32,3.32,3.32,3.32,0,0,0,0
82,1762968114586,3.32,3.32,3.32,3.32,0,0,0,0
83,1762968115053,3.32,3.32,3.32,3.32,0,0,0,0
84,1762968115968,3.32,3.32,3.32,3.32,0,0,0,0
85,1762968116451,3.32,3.32,3.32,3.32,0,0,0,0
86,1762968117316,3.32,3.32,3.32,3.32,0,0,0,0
