index,date,DEBUG_1,DEBUG_2,DEBUG_3,DEBUG_4,1,2,3,4
0,1762969984593,0,0,0,0,0,0,0,0
1,1762969984760,0,0,0,0,0,0,0,0
2,1762969984909,0,0,0,0,0,0,0,0
3,1762969985009,0,0,0,0,0,0,0,0
4,1762969985142,0,0,0,0,0,0,0,0
5,1762969985176,0,0,0,0,0,0,0,0
6,1762969985259,0,0,0,0,0,0,0,0
7,1762969985359,0,0,0,0,0,0,0,0
8,1762969985474,0,0,0,0,0,0,0,0
9,1762969985575,0,0,0,0,0,0,0,0
10,1762969985708,0,0,0,0,0,0,0,0
11,1762969985858,0,0,0,0,0,0,0,0
12,1762969986058,0,0,0,0,0,0,0,0
13,1762969986142,0,0,0,0,0,0,0,0
14,1762969986241,0,0,0,0,0,0,0,0
15,1762969986358,0,0,0,0,0,0,0,0
16,1762969986574,0,0,0,0,0,0,0,0
17,1762969986692,0,0,0,0,0,0,0,0
18,1762969986791,0,0,0,0,0,0,0,0
19,1762969986973,0,0,0,0,0,0,0,0
20,1762969987157,0,0,0,0,0,0,0,0
21,1762969987224,0,0,0,0,0,0,0,0
22,1762969987340,0,0,0,0,0,0,0,0
23,1762969987490,0,0,0,0,0,0,0,0
24,1762969987607,0,0,0,0,0,0,0,0
25,1762969987690,0,0,0,0,0,0,0,0
26,1762969987840,0,0,0,0,0,0,0,0
27,1762969988008,0,0,0,0,0,0,0,0
28,1762969988173,0,0,0,0,0,0,0,0
29,1762969988340,0,0,0,0,0,0,0,0
30,1762969988439,0,0,0,0,0,0,0,0
31,1762969988557,0,0,0,0,0,0,0,0
32,1762969988673,0,0,0,0,0,0,0,0
33,1762969988839,0,0,0,0,0,0,0,0
34,1762969989039,0,0,0,0,0,0,0,0
35,1762969989205,0,0,0,0,0,0,0,0
36,1762969989322,0,0,0,0,0,0,0,0
37,1762969989438,0,0,0,0,0,0,0,0
38,1762969989538,0,0,0,0,0,0,0,0
39,1762969989655,0,0,0,0,0,0,0,0
40,1762969989904,0,0,0,0,0,0,0,0
41,1762969990072,0,0,0,0,0,0,0,0
42,1762969990205,0,0,0,0,0,0,0,0
43,1762969990304,0,0,0,0,0,0,0,0
44,1762969990421,0,0,0,0,0,0,0,0
