index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
0,1780260963461,0,0,0,0
1,1780260964779,0,0,0,0
2,1780260974878,0,0,0,0
3,1780260983260,0,0,0,0
4,1780260987627,0,0,0,0
5,1780260988160,0,0,0,0
6,1780260996410,0,0,0,0
7,1780260997410,0,0,0,0
8,1780260998843,0,0,0,0
9,1780261002026,0,0,0,0
10,1780261005359,0,0,0,0
11,1780261006926,0,0,0,0
12,1780261008293,0,0,0,0
13,1780261009110,0,0,0,0
14,1780261009276,0,0,0,0
15,1780261010109,0,0,0,0
16,1780261010526,0,0,0,0
17,1780261014142,0,0,0,0
18,1780261021941,0,0,0,0
19,1780261027809,0,0,0,0
20,1780261028425,0,0,0,0
21,1780261034857,0,0,0,0
22,1780261041290,0,0,0,0
23,1780261042324,0,0,0,0
24,1780261044257,0,0,0,0
25,1780261047275,0,0,0,0
26,1780261051840,0,0,0,0
27,1780261052507,0,0,0,0
28,1780261052757,0,0,0,0
29,1780261052956,0,0,0,0
30,1780261055606,0,0,0,0
31,1780261056007,0,0,0,0
32,1780261058573,0,0,0,0
33,1780261062656,0,0,0,0
34,1780261071239,0,0,0,7777
35,1780261072972,0,0,0,0
36,1780261075556,0,0,0,0
37,1780261077705,0,0,0,0
38,1780261081622,0,0,0,0
39,1780261082690,0,0,0,0
40,1780261082988,0,0,0,0
41,1780261086455,0,0,0,0
42,1780261089788,0,0,0,0
43,1780261092671,0,0,0,0
44,1780261094454,0,0,0,0
45,1780261097004,0,0,0,0
46,1780261097953,0,0,0,0
47,1780261104054,0,0,0,0
48,1780261108187,0,0,0,0
49,1780261108470,0,0,0,0
50,1780261109953,0,0,0,0
51,1780261111903,0,0,0,0
52,1780261118086,0,0,0,0
53,1780261122536,0,0,0,0
54,1780261126753,0,0,0,0
55,1780261127703,0,0,0,0
56,1780261128152,0,0,0,0
57,1780261130336,0,0,0,0
58,1780261130537,0,0,0,0
59,1780261132853,0,0,0,0
60,1780261133302,0,0,0,0
61,1780261135618,0,0,0,0
62,1780261139285,0,0,0,0
63,1780261140568,0,0,0,0
64,1780261141385,0,0,0,7760
65,1780261141885,0,0,0,0
66,1780261143869,0,0,0,0
67,1780261145052,0,0,0,0
68,1780261145302,0,0,0,0
69,1780261147952,0,0,0,0
70,1780261148734,0,0,0,0
71,1780261150134,0,0,0,0
72,1780261150418,0,0,0,0
73,1780261160817,0,0,0,0
74,1780261163034,0,0,0,0
75,1780261167901,0,0,0,0
76,1780261172850,0,0,0,0
77,1780261174636,0,0,0,0
78,1780261175201,0,0,0,0
79,1780261179533,0,0,0,0
80,1780261181232,0,0,0,0
81,1780261187332,0,0,0,0
82,1780261188199,0,0,0,0
83,1780261193884,0,0,0,0
84,1780261195999,0,0,0,0
85,1780261197649,0,0,0,0
86,1780261198266,0,0,0,0
87,1780261198833,0,0,0,0
88,1780261199466,0,0,0,0
89,1780261204649,0,0,0,0
90,1780261206431,0,0,0,0
91,1780261210631,0,0,0,0
92,1780261212164,0,0,0,0
93,1780261212781,0,0,0,0
94,1780261213231,0,0,0,0
95,1780261219332,0,0,0,0
96,1780261228246,0,0,0,0
97,1780261228996,0,0,0,0
98,1780261229364,0,0,0,0
99,1780261230263,0,0,0,0
100,1780261232079,0,0,0,0
101,1780261236463,0,0,0,0
102,1780261236914,0,0,0,0
103,1780261237232,0,0,0,0
104,1780261238146,0,0,0,0
105,1780261240329,0,0,0,0
106,1780261241362,0,0,0,0
107,1780261241563,0,0,0,0
