index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1765218499960,3.34,3.34,3.27,3.3,0,0,0,0
1,1765218501527,3.34,3.34,3.3,3.31,0,0,0,0
2,1765218501693,3.34,3.34,3.3,3.31,0,0,0,0
3,1765218503227,3.34,3.34,3.28,3.3,0,0,0,0
4,1765218504810,3.34,3.34,3.3,3.31,0,0,0,0
5,1765218504960,3.34,3.34,3.3,3.31,0,0,0,0
6,1765218506494,3.34,3.34,3.29,3.31,0,0,0,0
7,1765218508293,3.34,3.35,3.33,3.33,0,0,0,0
8,1765218509960,3.34,3.35,3.33,3.34,0,0,0,0
9,1765218511593,3.34,3.35,3.33,3.34,0,0,0,0
10,1765218511743,3.35,3.35,3.33,3.34,0,0,0,0
11,1765218513261,3.35,3.35,3.33,3.34,0,0,0,0
12,1765218515093,3.35,3.35,3.33,3.34,0,0,0,0
13,1765218516627,3.35,3.35,3.34,3.34,0,0,0,0
14,1765218516811,3.35,3.35,3.34,3.34,0,0,0,0
15,1765218518427,3.35,3.35,3.34,3.34,0,0,0,0
16,1765218518577,3.35,3.35,3.34,3.34,0,0,0,0
17,1765218520176,3.35,3.35,3.34,3.34,0,0,0,0
18,1765218520377,3.35,3.35,3.34,3.34,0,0,0,0
19,1765218521976,3.35,3.35,3.34,3.34,0,0,0,0
20,1765218523810,3.34,3.35,3.32,3.32,0,0,0,0
21,1765218525527,3.34,3.34,3.3,3.32,0,0,0,0
22,1765218527411,3.35,3.35,3.33,3.34,0,0,0,0
23,1765218529127,3.34,3.34,3.31,3.32,0,0,0,0
24,1765218530778,3.33,3.33,3.27,3.3,0,0,0,0
25,1765218530911,3.34,3.35,3.33,3.34,0,0,0,0
26,1765218532460,3.35,3.35,3.33,3.34,0,0,0,0
27,1765218534211,3.35,3.35,3.34,3.34,0,0,0,0
28,1765218535778,3.35,3.35,3.34,3.34,0,0,0,0
29,1765218535978,3.35,3.35,3.34,3.34,0,0,0,0
30,1765218537544,3.35,3.35,3.34,3.34,0,0,0,0
31,1765218537695,3.35,3.35,3.34,3.34,0,0,0,0
32,1765218539277,3.35,3.35,3.34,3.34,0,0,0,0
