index,date,MODE
0,1780260962229,2
1,1780260964831,2
2,1780260966345,2
3,1780260971828,2
4,1780260975344,2
5,1780260975512,2
6,1780260977444,2
7,1780260980461,2
8,1780260991760,2
9,1780260992376,2
10,1780260993610,2
11,1780260993776,2
12,1780260995926,2
13,1780261007092,2
14,1780261007259,2
15,1780261007676,2
16,1780261011925,2
17,1780261013292,2
18,1780261016825,2
19,1780261021076,2
20,1780261023758,2
21,1780261028876,2
22,1780261029658,2
23,1780261038775,2
24,1780261039260,2
25,1780261049324,2
26,1780261051223,2
27,1780261057873,2
28,1780261065423,2
29,1780261065874,2
30,1780261072024,2
31,1780261072806,2
32,1780261075605,2
33,1780261085588,2
34,1780261091688,2
35,1780261107206,2
36,1780261111936,2
37,1780261115820,2
38,1780261116020,2
39,1780261131369,2
40,1780261134451,2
41,1780261136603,2
42,1780261142535,2
43,1780261152970,2
44,1780261156851,2
45,1780261166750,2
46,1780261169967,2
47,1780261176784,2
48,1780261178583,2
49,1780261186667,2
50,1780261188234,2
51,1780261188365,2
52,1780261198515,2
53,1780261204865,2
54,1780261205983,2
55,1780261212364,2
56,1780261214881,2
57,1780261216033,2
58,1780261217616,2
59,1780261219463,2
60,1780261219997,2
61,1780261223099,2
62,1780261226882,2
63,1780261231713,2
64,1780261234596,2
65,1780261237647,2
66,1780261618558,2
67,1780261619424,2
68,1780261626275,2
69,1780261632158,2
70,1780261633191,2
71,1780261635090,2
72,1780261636159,2
73,1780261636790,2
74,1780261643090,2
75,1780261651506,2
76,1780261654722,2
77,1780261660005,2
78,1780261660789,2
79,1780261661905,2
80,1780261671754,2
81,1780261673322,2
82,1780261676138,2
83,1780261683554,2
84,1780261687021,2
85,1780261690773,2
86,1780261691187,2
87,1780261692257,2
88,1780261695187,2
89,1780261695437,2
90,1780261701455,2
91,1780261706369,2
92,1780261713419,2
93,1780261715386,2
94,1780261717119,2
95,1780261717285,2
96,1780261719718,2
97,1780261720385,2
98,1780261722653,2
99,1780261724869,2
100,1780261725085,2
101,1780261732302,2
102,1780261734684,2
103,1780261738534,2
104,1780261739400,2
105,1780261739550,2
106,1780261749617,2
107,1780261753083,2
108,1780261755684,2
109,1780261755883,2
110,1780261757950,2
111,1780261762616,2
112,1780261767733,2
113,1780261772216,2
114,1780261779517,2
115,1780261781665,2
116,1780261788849,2
117,1780261791314,2
118,1780261794331,2
119,1780261795365,2
120,1780261798216,2
121,1780261798448,2
122,1780261798748,2
123,1780261800565,2
124,1780261802164,2
125,1780261803448,2
126,1780261806663,2
127,1780261811864,2
128,1780261814081,2
129,1780261818797,2
130,1780261819697,2
131,1780261828129,2
132,1780261835764,2
133,1780261837981,2
134,1780261847879,2
135,1780261848895,2
136,1780261856528,2
137,1780261858344,2
138,1780261864360,2
139,1780261866510,2
140,1780261868647,2
141,1780261870461,2
142,1780261877310,2
143,1780261880526,2
144,1780261883412,2
145,1780261890725,2
146,1780261898558,2
147,1780261899376,2
148,1780261900325,2
149,1780261901859,2
150,1780261902475,2
151,1780261905692,2
152,1780261907542,2
153,1780261908159,2
154,1780261908491,2
155,1780261909493,2
156,1780261912907,2
157,1780261915390,2
158,1780261921041,2
159,1780261922690,2
160,1780261923475,2
161,1780261929406,2
162,1780261932090,2
163,1780261934323,2
164,1780261934857,2
165,1780261935340,2
166,1780261938523,2
167,1780261939923,2
168,1780261941823,2
169,1780261944675,2
170,1780261945573,2
171,1780261948172,2
172,1780261951723,2
173,1780261958322,2
174,1780261963805,2
175,1780261965655,2
176,1780261967355,2
177,1780261968504,2
178,1780261971472,2
179,1780261982154,2
180,1780262051784,2
181,1780262106763,2
182,1780262115431,2
183,1780262117862,2
184,1780262119263,2
185,1780262127095,2
186,1780262129030,2
187,1780262136994,2
188,1780262138280,2
189,1780262141994,2
190,1780262144044,2
191,1780262145527,2
192,1780262145861,2
193,1780262148346,2
194,1780262148544,2
195,1780262153778,2
196,1780262158312,2
197,1780262160460,2
198,1780262162243,2
199,1780262163096,2
200,1780262182275,2
201,1780262187643,2
202,1780262188008,2
203,1780262283538,2
204,1780262286921,2
