index,date,ACCEL_X,ACCEL_Y,ACCEL_Z
0,1780260955045,30,-155,176
1,1780260956128,90,-261,277
2,1780260956778,34,-215,263
3,1780260957029,118,-14,224
4,1780260958011,-44,127,-143
5,1780260958479,-64,77,-142
6,1780260958761,64,93,-71
7,1780260961144,-13,-330,409
8,1780260961530,39,-225,344
9,1780260961895,38,-241,290
10,1780260962345,41,-44,274
11,1780260962561,6,-232,164
12,1780260962644,-75,-70,209
13,1780260963128,105,-216,227
14,1780260963628,70,221,106
15,1780260965078,95,-76,54
16,1780260965562,28,-150,72
17,1780260966646,-88,-377,334
18,1780260966712,77,-573,585
19,1780260967212,-235,-465,709
20,1780260967628,84,-493,667
21,1780260967711,114,-558,592
22,1780260968363,-185,-442,554
23,1780260968945,-82,-542,606
24,1780260969562,-30,-353,363
25,1780260969612,47,-347,354
26,1780260969811,-60,-301,441
27,1780260971661,33,411,-312
28,1780260972127,-71,415,-524
29,1780260972694,-59,245,-522
30,1780260972995,-4,295,-496
31,1780260974095,-63,377,-420
32,1780260974761,-57,345,-203
33,1780260977064,86,33,-185
34,1780260977527,164,256,-621
35,1780260977778,65,218,-567
36,1780260978228,197,634,-821
37,1780260978812,195,400,-519
38,1780260979544,-52,317,-422
39,1780260979794,37,281,-434
40,1780260979994,-86,267,-390
41,1780260980294,-18,294,-312
42,1780260980994,-138,277,-258
43,1780260981694,-31,84,-186
44,1780260981945,-73,89,-96
45,1780260982962,59,-44,101
46,1780260983595,55,-11,-13
47,1780260984077,-12,55,-36
48,1780260987045,-131,219,-119
49,1780260989077,52,-121,70
50,1780260989610,9,-233,258
51,1780260990263,21,341,-497
52,1780260990728,173,144,-374
53,1780260991060,-211,334,-547
54,1780260991544,-164,532,-739
55,1780260992293,-104,669,-784
56,1780260992494,-381,812,-712
57,1780260992909,-342,657,-705
58,1780260993076,-39,348,-618
59,1780260994361,344,-338,156
60,1780260994526,140,-121,53
61,1780260994676,49,-30,-87
62,1780260996010,124,17,-37
63,1780260996127,-169,164,-105
64,1780260996793,-220,-492,431
65,1780260997860,-9,-573,605
66,1780260998193,-39,-684,780
67,1780260998594,74,-445,513
68,1780260999226,30,-247,384
69,1780260999844,82,-251,297
70,1780261001693,-157,-282,-113
71,1780261002309,38,-134,74
72,1780261002527,-48,22,-41
73,1780261002595,284,-170,-22
74,1780261003676,10,37,-58
75,1780261004293,-24,0,96
76,1780261004326,-226,67,-56
77,1780261004710,-26,36,3
78,1780261005193,33,-32,-68
79,1780261006109,9,11,8
80,1780261006142,-115,22,50
81,1780261006760,-42,-25,65
82,1780261008376,-73,-186,161
83,1780261008626,-1,-219,274
84,1780261010025,123,-258,125
85,1780261010309,48,-170,175
86,1780261012459,59,-76,93
87,1780261012792,8,-71,111
88,1780261012960,126,-93,111
89,1780261013408,-50,9,14
90,1780261014225,131,-88,20
91,1780261014476,-125,49,-108
92,1780261014893,10,119,-163
93,1780261015592,44,51,-136
94,1780261015710,-19,86,-76
95,1780261017125,8,-398,523
96,1780261017293,88,-497,502
97,1780261017858,-113,-291,452
98,1780261017992,-46,-438,489
99,1780261019425,55,-151,178
100,1780261019508,47,-169,163
101,1780261019758,5,-129,171
102,1780261020292,-65,-69,-29
103,1780261020625,54,-133,77
104,1780261020659,29,-58,-27
105,1780261020908,-86,285,-113
106,1780261021325,111,81,-129
107,1780261021826,0,24,-75
108,1780261021858,-64,118,-91
109,1780261022359,123,50,-159
110,1780261023258,93,38,-119
111,1780261023594,-74,150,-173
112,1780261024375,23,43,-117
113,1780261025125,17,25,-51
114,1780261027141,-14,416,-583
115,1780261027341,34,466,-448
116,1780261029374,136,445,-532
117,1780261030808,-69,-27,45
118,1780261031025,82,-61,4
119,1780261031225,114,-85,7
120,1780261032341,-88,91,-54
121,1780261033741,0,13,-18
122,1780261034941,7,-43,-16
123,1780261035110,-40,-140,104
124,1780261035890,-168,-28,65
125,1780261036058,30,-108,123
126,1780261038607,43,-281,377
127,1780261038973,2,-312,428
128,1780261039724,-17,-133,121
129,1780261039924,-82,-118,56
130,1780261040043,4,77,42
131,1780261040141,158,-142,55
132,1780261040209,125,-110,66
133,1780261041624,-161,71,154
134,1780261042491,41,-429,499
135,1780261042642,-31,-320,464
136,1780261043556,39,-217,138
137,1780261043807,-32,-175,205
138,1780261044507,45,-574,689
139,1780261046107,124,-64,81
140,1780261047057,-101,219,-250
141,1780261047440,42,132,-191
142,1780261047806,116,383,-571
143,1780261047890,164,425,-681
144,1780261048340,-232,648,-782
145,1780261048590,-122,579,-795
146,1780261048956,57,191,-579
147,1780261049823,-167,534,-514
148,1780261050606,-193,415,-621
149,1780261050891,-143,333,-658
150,1780261051274,-140,552,-553
151,1780261051639,-61,250,-317
152,1780261052541,19,-106,-12
153,1780261053373,-273,113,-138
154,1780261053541,-398,271,93
155,1780261053990,-236,286,28
156,1780261055356,-11,-4,-4
157,1780261057006,29,135,-186
158,1780261059273,-114,237,-238
159,1780261060791,-28,-15,41
160,1780261060922,68,-121,43
161,1780261061172,-24,9,-7
162,1780261062240,-11,87,-82
163,1780261063273,74,87,-95
164,1780261063939,32,-276,320
165,1780261064139,11,-240,234
166,1780261064255,-32,-202,308
167,1780261064505,-44,-198,351
168,1780261064556,307,0,-36
169,1780261065590,-38,263,-385
170,1780261066406,-8,284,-486
171,1780261067073,-66,369,-446
172,1780261067972,-10,441,-537
173,1780261068306,-13,457,-543
174,1780261068422,-75,458,-572
175,1780261068506,-68,569,-595
176,1780261068723,-120,548,-614
177,1780261069089,-17,340,-571
178,1780261069823,122,-34,-59
179,1780261069873,-65,55,-112
180,1780261070406,200,-286,359
181,1780261070606,25,-341,402
182,1780261071439,-10,17,137
183,1780261072222,-51,-117,39
184,1780261072639,-42,-141,87
185,1780261074072,2,-115,138
186,1780261077006,-426,80,521
187,1780261077422,172,-415,510
188,1780261078905,60,-423,518
