index,date,GYRO_X,GYRO_Y,GYRO_Z
0,1780260955995,42,-5166,6479
1,1780260956412,211,-4732,4892
2,1780260956662,-734,-6028,6341
3,1780260957645,379,-5233,6114
4,1780260959745,-418,-5008,7136
5,1780260959996,44,-5275,6682
6,1780260960279,-201,-3485,6026
7,1780260961396,-822,-6592,5244
8,1780260961930,-424,-5644,5346
9,1780260962761,-92,-5600,7492
10,1780260963911,-324,-5299,7398
11,1780260964079,254,-5159,7514
12,1780260964746,-413,-5263,5732
13,1780260965146,764,-5820,7072
14,1780260965395,30,-5800,6705
15,1780260967746,-2296,-12167,4144
16,1780260969644,-1266,-7018,4315
17,1780260970311,-1799,-6010,3778
18,1780260970428,-1462,-8293,6250
19,1780260970678,-1224,-8517,5936
20,1780260971794,1515,-2778,9173
21,1780260972661,1468,-3277,8910
22,1780260972827,-125,-2150,8294
23,1780260973028,1974,-3753,8616
24,1780260973161,2459,-227,9248
25,1780260973861,261,-4136,8754
26,1780260974311,822,-3929,7878
27,1780260976044,-1143,-5461,10932
28,1780260976120,1475,-4227,6026
29,1780260976295,534,-6556,8467
30,1780260978111,5673,1867,7456
31,1780260978311,4141,-2767,10806
32,1780260979461,1388,-4321,8920
33,1780260980529,1139,-3903,8446
34,1780260981412,1015,-3796,6183
35,1780260981561,1287,-4217,6173
36,1780260981861,1062,-5456,6584
37,1780260981977,983,-5412,6081
38,1780260982227,1613,-4664,6087
39,1780260982427,1082,-5238,6710
40,1780260983960,-1371,-4494,7549
41,1780260984627,-1284,-4430,7552
42,1780260984827,-1467,-3410,6898
43,1780260985110,-1452,-5360,7713
44,1780260985410,-418,-3432,6780
45,1780260985727,-702,-5508,7401
46,1780260986110,115,-3511,5650
47,1780260986143,-44,-6268,5958
48,1780260986427,-154,-4722,8940
49,1780260986927,94,-5630,7552
50,1780260987343,-555,-4645,8327
51,1780260987512,38,-5680,6909
52,1780260987878,6216,0,0
53,1780260988410,427,-4589,7672
54,1780260988577,311,-3536,6229
55,1780260988627,-510,-5016,8394
56,1780260989811,61,-6168,5828
57,1780260990227,1030,-4256,9782
58,1780260990510,632,-2958,12413
59,1780260991260,3677,-1316,10796
60,1780260991844,1271,-460,10699
61,1780260992326,2026,1596,9371
62,1780260992459,1115,-190,9357
63,1780260993042,-51,-2193,12143
64,1780260993327,897,-2357,8247
65,1780260993893,136,-2112,6168
66,1780260994926,-2139,-5696,8108
67,1780260994977,-136,-5456,6528
68,1780260996744,-56,-11691,3302
69,1780260997076,1245,-13357,2261
70,1780260998143,-1203,-9491,2170
71,1780260998361,112,-10418,2159
72,1780260998760,672,-6880,5004
73,1780261000742,-238,-5258,5264
74,1780261001043,-516,-5160,6801
75,1780261001577,-965,-2300,7334
76,1780261002392,-713,-6496,6916
77,1780261003143,-412,-3238,6883
78,1780261003477,-192,-5032,7873
79,1780261003759,-614,-5926,7258
80,1780261005043,277,-4793,6120
81,1780261005443,-291,-4344,4902
82,1780261005577,-948,-6172,5859
83,1780261005743,-136,-6532,5897
84,1780261007509,320,-3712,6596
85,1780261008492,-788,-6168,6041
86,1780261009692,-548,-4989,6550
87,1780261010809,-920,-8070,7069
88,1780261011092,166,-6694,6253
89,1780261011627,-236,-5038,5923
90,1780261014192,230,-4378,6730
91,1780261015226,961,-4236,7419
92,1780261015560,-40,-3769,5873
93,1780261016175,-180,-5921,5582
94,1780261016710,-530,-8234,5071
95,1780261017443,818,-6908,5000
96,1780261017742,226,-6829,5485
97,1780261017942,-66,-6398,5031
98,1780261018808,983,-5037,5389
99,1780261019710,-126,-5861,6104
100,1780261021492,589,-2467,7735
101,1780261022891,-51,-4320,6750
102,1780261023092,-60,-4786,7974
103,1780261023341,910,-4892,6480
104,1780261024291,151,-5695,6672
105,1780261024458,137,-5854,7894
106,1780261026243,3141,-1965,8670
107,1780261026443,2700,-3092,8623
108,1780261026558,2450,-2963,8137
109,1780261026692,3440,-3516,9411
110,1780261026859,2338,-1232,9085
111,1780261026941,2622,-2264,8296
112,1780261027259,3026,-4392,9235
113,1780261027425,1816,-1816,8072
114,1780261027758,1913,-2688,9439
115,1780261028208,1761,-1387,6308
116,1780261028543,-636,-6832,8615
117,1780261028842,550,-5028,6264
118,1780261029041,654,-1700,6821
119,1780261029858,-66,-6282,8495
120,1780261030325,287,-4406,6820
121,1780261031307,-218,-5319,6749
122,1780261031758,200,-5255,7324
123,1780261032425,-162,-5330,7009
124,1780261032541,54,-4264,6416
125,1780261032874,-1032,-6553,7384
126,1780261034393,118,-4468,6034
127,1780261035058,-1111,-6184,5636
128,1780261035507,-351,-5014,6216
129,1780261035591,-125,-5205,6982
130,1780261036457,272,-5502,5568
131,1780261036591,45,-5172,7181
132,1780261036758,-447,-5416,6480
133,1780261037124,-85,-7504,5917
134,1780261037541,162,-5021,6261
135,1780261038274,-530,-7205,6081
136,1780261039891,534,-5196,5626
137,1780261040541,215,-3374,6456
138,1780261041407,6670,0,0
139,1780261042607,-159,-4945,4687
140,1780261042857,-81,-7142,6126
141,1780261043024,-936,-5502,5732
142,1780261043357,-2080,-6418,6257
143,1780261043890,1537,-5020,5869
144,1780261044340,-1116,-7086,5584
145,1780261045123,-337,-8530,4567
146,1780261045490,176,-5562,4861
147,1780261046607,-175,-6160,6994
148,1780261048225,2853,-36,8169
149,1780261048390,2912,-180,10848
150,1780261048674,1746,-565,11679
151,1780261048757,5020,-4359,10212
152,1780261049573,1696,-4687,9730
153,1780261049790,1240,-3826,6986
154,1780261050573,2177,-2109,9327
155,1780261050774,2298,220,6998
156,1780261051923,-1916,-5299,4378
157,1780261052256,-1502,-7052,4365
158,1780261052340,-2039,-11072,11462
159,1780261053657,32,-2926,3606
160,1780261054406,-2765,-8188,6848
161,1780261054856,1090,-5863,7462
162,1780261055556,-147,-5356,5772
163,1780261055924,8915,0,0
164,1780261058406,-150,-4245,7040
165,1780261058823,143,-3260,7283
166,1780261060172,842,-3862,6911
167,1780261060390,-44,-5355,6018
168,1780261061006,-866,-6262,5480
169,1780261062109,88,-3931,5827
170,1780261064957,-44,-7252,5628
171,1780261065340,391,-4848,6925
172,1780261066072,629,-4897,6254
173,1780261066156,1508,-4394,7716
174,1780261066489,1691,-2810,6955
175,1780261066656,932,-4448,8078
176,1780261067356,158,-3880,7730
177,1780261068222,1270,-3992,6345
