index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
0,1765220698733,0,0,0,0,0,0,0,0
1,1765220699015,0,0,0,0,0,0,0,0
2,1765220699081,0,0,0,0,0,0,0,0
3,1765220699365,0,0,0,0,0,0,0,0
4,1765220699648,0,0,0,0,0,0,0,0
5,1765220699715,0,0,0,0,0,0,0,0
6,1765220699997,0,0,0,0,0,0,0,0
7,1765220700282,0,0,0,0,0,0,0,0
8,1765220700631,0,0,0,0,0,0,0,0
9,1765220700931,0,0,0,0,0,0,0,0
10,1765220701266,0,0,0,0,0,0,0,0
11,1765220701550,0,0,0,0,0,0,0,0
12,1765220701882,0,0,0,0,0,0,0,0
13,1765220702148,0,0,0,0,0,0,0,0
14,1765220702449,0,0,0,0,0,0,0,0
15,1765220702482,0,0,0,0,0,0,0,0
16,1765220702765,0,0,0,0,0,0,0,0
17,1765220703032,0,0,0,0,0,0,0,0
18,1765220703348,0,0,0,0,0,0,0,0
19,1765220703615,0,0,0,0,0,0,0,0
20,1765220703931,0,0,0,0,0,0,0,0
21,1765220704232,0,0,0,0,0,0,0,0
22,1765220704515,0,0,0,0,0,0,0,0
23,1765220704549,0,0,0,0,0,0,0,0
24,1765220704815,0,0,0,0,0,0,0,0
25,1765220705097,0,0,0,0,0,0,0,0
26,1765220705415,0,0,0,0,0,0,0,0
27,1765220705699,0,0,0,0,0,0,0,0
28,1765220706031,0,0,0,0,0,0,0,0
29,1765220706298,0,0,0,0,0,0,0,0
30,1765220706565,0,0,0,0,0,0,0,0
31,1765220706882,0,0,0,0,0,0,0,0
32,1765220707181,0,0,0,0,0,0,0,0
33,1765220707482,0,0,0,0,0,0,0,0
34,1765220707765,0,0,0,0,0,0,0,0
35,1765220708048,0,0,0,0,0,0,0,0
36,1765220708081,0,0,0,0,0,0,0,0
37,1765220708365,0,0,0,0,0,0,0,0
38,1765220708648,0,0,0,0,0,0,0,0
39,1765220708981,0,0,0,0,0,0,0,0
40,1765220709248,0,0,0,0,0,0,0,0
41,1765220709547,0,0,0,0,0,0,0,0
42,1765220709832,0,0,0,0,0,0,0,0
43,1765220710115,0,0,0,0,0,0,0,0
44,1765220710148,0,0,0,0,0,0,0,0
45,1765220710448,0,0,0,0,0,0,0,0
46,1765220710715,0,0,0,0,0,0,0,0
47,1765220711032,0,0,0,0,0,0,0,0
48,1765220711315,0,0,0,0,0,0,0,0
49,1765220711631,0,0,0,0,0,0,0,0
50,1765220711932,0,0,0,0,0,0,0,0
51,1765220712198,0,0,0,0,0,0,0,0
52,1765220712498,0,0,0,0,0,0,0,0
53,1765220712782,0,0,0,0,0,0,0,0
54,1765220713099,0,0,0,0,0,0,0,0
55,1765220713382,0,0,0,0,0,0,0,0
56,1765220713665,0,0,0,0,0,0,0,0
57,1765220713715,0,0,0,0,0,0,0,0
58,1765220713965,0,0,0,0,0,0,0,0
59,1765220714248,0,0,0,0,0,0,0,0
60,1765220714582,0,0,0,0,0,0,0,0
61,1765220714849,0,0,0,0,0,0,0,0
62,1765220715165,0,0,0,0,0,0,0,0
63,1765220715448,0,0,0,0,0,0,0,0
64,1765220715732,0,0,0,0,0,0,0,0
65,1765220716048,0,0,0,0,0,0,0,0
66,1765220716315,0,0,0,0,0,0,0,0
67,1765220716631,0,0,0,0,0,0,0,0
68,1765220716915,0,0,0,0,0,0,0,0
69,1765220717232,0,0,0,0,0,0,0,0
70,1765220717516,0,0,0,0,0,0,0,0
71,1765220717782,0,0,0,0,0,0,0,0
72,1765220718098,0,0,0,0,0,0,0,0
73,1765220718398,0,0,0,0,0,0,0,0
74,1765220718697,0,0,0,0,0,0,0,0
75,1765220718981,0,0,0,0,0,0,0,0
