index,date,MODE_ID,ERROR_ID,AIR_P,AIR_N,1,2,3,4
0,1765220719432,1,0,0,0,0,0,0,0
1,1765220721013,1,2,0,0,0,0,0,0
2,1765220721199,1,2,0,0,0,0,0,0
3,1765220722865,1,2,0,0,0,0,0,0
4,1765220724615,1,2,0,0,0,0,0,0
5,1765220724814,1,2,0,0,0,0,0,0
6,1765220728697,1,2,0,0,0,0,0,0
7,1765220730599,1,2,0,0,0,0,0,0
8,1765220732550,1,2,0,0,0,0,0,0
9,1765220732715,1,2,0,0,0,0,0,0
10,1765220734664,1,2,0,0,0,0,0,0
11,1765220736516,1,2,0,0,0,0,0,0
12,1765220738316,1,2,0,0,0,0,0,0
13,1765220740182,1,2,0,0,0,0,0,0
14,1765220741932,1,2,0,0,0,0,0,0
15,1765220743831,1,2,0,0,0,0,0,0
16,1765220745582,1,2,0,0,0,0,0,0
17,1765220747432,1,2,0,0,0,0,0,0
18,1765220749232,1,2,0,0,0,0,0,0
19,1765220751031,1,2,0,0,0,0,0,0
20,1765220752665,1,2,0,0,0,0,0,0
21,1765220752863,1,2,0,0,0,0,0,0
22,1765220754465,1,2,0,0,0,0,0,0
23,1765220754615,1,2,0,0,0,0,0,0
24,1765220756348,1,2,0,0,0,0,0,0
25,1765220756498,1,2,0,0,0,0,0,0
26,1765220758099,1,2,0,0,0,0,0,0
27,1765220758282,1,2,0,0,0,0,0,0
28,1765220759946,1,2,0,0,0,0,0,0
29,1765220760113,1,2,0,0,0,0,0,0
30,1765220761798,1,2,0,0,0,0,0,0
31,1765220761996,1,2,0,0,0,0,0,0
32,1765220763865,1,2,0,0,0,0,0,0
33,1765220765832,1,2,0,0,0,0,0,0
34,1765220766014,1,2,0,0,0,0,0,0
35,1765220767665,1,2,0,0,0,0,0,0
36,1765220767913,1,2,0,0,0,0,0,0
37,1765220769799,1,2,0,0,0,0,0,0
38,1765220771648,1,2,0,0,0,0,0,0
39,1765220773414,1,2,0,0,0,0,0,0
40,1765220775314,1,2,0,0,0,0,0,0
41,1765220778848,1,2,0,0,0,0,0,0
42,1765220780465,1,2,0,0,0,0,0,0
43,1765220780682,1,2,0,0,0,0,0,0
44,1765220782297,1,2,0,0,0,0,0,0
45,1765220782465,1,2,0,0,0,0,0,0
46,1765220784149,1,2,0,0,0,0,0,0
47,1765220784331,1,2,0,0,0,0,0,0
48,1765220785898,1,2,0,0,0,0,0,0
49,1765220786083,1,2,0,0,0,0,0,0
50,1765220787931,1,2,0,0,0,0,0,0
51,1765220789532,1,2,0,0,0,0,0,0
52,1765220789730,1,2,0,0,0,0,0,0
53,1765220791364,1,2,0,0,0,0,0,0
54,1765220793164,1,2,0,0,0,0,0,0
55,1765220794996,1,2,0,0,0,0,0,0
56,1765220795164,1,2,0,0,0,0,0,0
57,1765220807481,1,0,0,0,0,0,0,0
58,1765220809230,1,0,0,0,0,0,0,0
59,1765220810762,1,0,0,0,0,0,0,0
60,1765220812497,1,0,0,0,0,0,0,0
61,1765220813498,1,0,0,0,0,0,0,0
62,1765220814698,1,0,0,0,0,0,0,0
63,1765220815881,1,0,0,0,0,0,0,0
64,1765220817414,1,0,0,0,0,0,0,0
65,1765220817614,1,0,0,0,0,0,0,0
66,1765220819164,1,0,0,0,0,0,0,0
67,1765220820864,1,0,0,0,0,0,0,0
68,1765220822431,1,0,0,0,0,0,0,0
69,1765220822581,1,0,0,0,0,0,0,0
70,1765220825829,1,0,0,0,0,0,0,0
71,1765220827414,1,0,0,0,0,0,0,0
72,1765220827614,1,0,0,0,0,0,0,0
73,1765220829164,1,0,0,0,0,0,0,0
74,1765220830997,1,0,0,0,0,0,0,0
75,1765220832781,1,0,0,0,0,0,0,0
76,1765220834664,1,0,0,0,0,0,0,0
77,1765220838282,1,0,0,0,0,0,0,0
78,1765220840098,1,0,0,0,0,0,0,0
79,1765220843364,1,0,0,0,0,0,0,0
80,1765220843547,1,0,0,0,0,0,0,0
81,1765220845082,1,0,0,0,0,0,0,0
82,1765220848531,1,0,0,0,0,0,0,0
83,1765220850147,1,0,0,0,0,0,0,0
84,1765220851914,1,0,0,0,0,0,0,0
85,1765220853447,1,0,0,0,0,0,0,0
86,1765220853631,1,0,0,0,0,0,0,0
87,1765220855380,1,0,0,0,0,0,0,0
88,1765220856897,1,0,0,0,0,0,0,0
89,1765220858714,1,0,0,0,0,0,0,0
90,1765220860281,1,0,0,0,0,0,0,0
91,1765220860415,1,0,0,0,0,0,0,0
92,1765220863764,1,0,0,0,0,0,0,0
93,1765220867431,1,0,0,0,0,0,0,0
94,1765220869247,1,0,0,0,0,0,0,0
95,1765220871098,1,0,0,0,0,0,0,0
96,1765220872914,1,0,0,0,0,0,0,0
97,1765220874697,1,0,0,0,0,0,0,0
98,1765220876264,1,0,0,0,0,0,0,0
99,1765220876380,1,0,0,0,0,0,0,0
100,1765220879680,1,0,0,0,0,0,0,0
101,1765220881480,1,0,0,0,0,0,0,0
102,1765220884731,1,0,0,0,0,0,0,0
103,1765220886263,1,0,0,0,0,0,0,0
104,1765220886447,1,0,0,0,0,0,0,0
105,1765220888030,1,0,0,0,0,0,0,0
106,1765220889746,1,0,0,0,0,0,0,0
107,1765220891330,1,0,0,0,0,0,0,0
108,1765220891463,1,0,0,0,0,0,0,0
109,1765220893063,1,0,0,0,0,0,0,0
110,1765220893230,1,0,0,0,0,0,0,0
