index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
0,1762968053720,0,0,0,0,0,0,0,0
1,1762968053919,0,0,0,0,0,0,0,0
2,1762968054019,0,0,0,0,0,0,0,0
3,1762968054136,0,0,0,0,0,0,0,0
4,1762968054236,0,0,0,0,0,0,0,0
5,1762968054469,0,0,0,0,0,0,0,0
6,1762968054603,0,0,0,0,0,0,0,0
7,1762968054735,0,0,0,0,0,0,0,0
8,1762968054803,0,0,0,0,0,0,0,0
9,1762968054902,0,0,0,0,0,0,0,0
10,1762968055020,0,0,0,0,0,0,0,0
11,1762968055120,0,0,0,0,0,0,0,0
12,1762968055602,0,0,0,0,0,0,0,0
13,1762968055669,0,0,0,0,0,0,0,0
14,1762968055768,0,0,0,0,0,0,0,0
15,1762968055885,0,0,0,0,0,0,0,0
16,1762968056002,0,0,0,0,0,0,0,0
17,1762968056118,0,0,0,0,0,0,0,0
18,1762968056218,0,0,0,0,0,0,0,0
19,1762968056384,0,0,0,0,0,0,0,0
20,1762968056451,0,0,0,0,0,0,0,0
21,1762968056551,0,0,0,0,0,0,0,0
22,1762968056667,0,0,0,0,0,0,0,0
23,1762968056784,0,0,0,0,0,0,0,0
24,1762968057001,0,0,0,0,0,0,0,0
25,1762968057101,0,0,0,0,0,0,0,0
26,1762968057317,0,0,0,0,0,0,0,0
27,1762968057550,0,0,0,0,0,0,0,0
28,1762968057683,0,0,0,33139,0,0,0,0
29,1762968057766,0,0,0,0,0,0,0,0
30,1762968057866,0,0,0,0,0,0,0,0
31,1762968057983,0,0,0,0,0,0,0,0
32,1762968058083,0,0,0,0,0,0,0,0
33,1762968058200,0,0,0,0,0,0,0,0
34,1762968058449,0,0,0,0,0,0,0,0
35,1762968058533,0,0,0,0,0,0,0,0
36,1762968058965,0,0,0,0,0,0,0,0
37,1762968059199,0,0,0,0,0,0,0,0
38,1762968059316,0,0,0,0,0,0,0,0
39,1762968059415,0,0,0,0,0,0,0,0
40,1762968059515,0,0,0,0,0,0,0,0
41,1762968059848,0,0,0,0,0,0,0,0
42,1762968059965,0,0,0,0,0,0,0,0
43,1762968060064,0,0,0,0,0,0,0,0
44,1762968060181,0,0,0,0,0,0,0,0
45,1762968060414,0,0,0,3.32,0,0,0,0
46,1762968060530,0,0,0,0,0,0,0,0
47,1762968060631,0,0,0,0,0,0,0,0
48,1762968060714,0,0,0,0,0,0,0,0
49,1762968060947,0,0,0,0,0,0,0,0
50,1762968061047,0,0,0,0,0,0,0,0
51,1762968061163,0,0,0,0,0,0,0,0
52,1762968061313,0,0,0,0,0,0,0,0
53,1762968061397,0,0,0,0,0,0,0,0
54,1762968061514,0,0,0,0,0,0,0,0
55,1762968061763,0,0,0,0,0,0,0,0
56,1762968061830,0,0,0,0,0,0,0,0
57,1762968062063,0,0,0,0,0,0,0,0
58,1762968062163,0,0,0,0,0,0,0,0
59,1762968062263,0,0,0,0,0,0,0,0
60,1762968062596,0,0,0,0,0,0,0,0
61,1762968062912,0,0,0,0,0,0,0,0
62,1762968063146,0,0,0,0,0,0,0,0
63,1762968063262,0,0,0,0,0,0,0,0
64,1762968063378,0,0,0,0,0,0,0,0
65,1762968063478,0,0,0,0,0,0,0,0
66,1762968063727,0,0,0,0,0,0,0,0
67,1762968063812,0,0,0,0,0,0,0,0
68,1762968064144,0,0,0,0,0,0,0,0
69,1762968064245,0,0,0,0,0,0,0,0
70,1762968064361,0,0,0,0,0,0,0,0
71,1762968064478,0,0,0,3.32,0,0,0,0
72,1762968064594,0,0,0,0,0,0,0,0
73,1762968064694,0,0,0,0,0,0,0,0
74,1762968064812,0,0,0,0,0,0,0,0
75,1762968064912,0,0,0,0,0,0,0,0
76,1762968065027,0,0,0,0,0,0,0,0
77,1762968065244,0,0,0,0,0,0,0,0
78,1762968065460,0,0,0,0,0,0,0,0
79,1762968065576,0,0,0,0,0,0,0,0
80,1762968065693,0,0,0,0,0,0,0,0
81,1762968065793,0,0,0,0,0,0,0,0
82,1762968066011,0,0,0,0,0,0,0,0
83,1762968066126,0,0,0,0,0,0,0,0
84,1762968066227,0,0,0,0,0,0,0,0
85,1762968066443,0,0,0,0,0,0,0,0
86,1762968066559,0,0,0,0,0,0,0,0
87,1762968066676,0,0,0,0,0,0,0,0
88,1762968067010,0,0,0,0,0,0,0,0
89,1762968067108,0,0,0,0,0,0,0,0
90,1762968067225,0,0,0,3.26,0,0,0,0
91,1762968067342,0,0,0,0,0,0,0,0
92,1762968067442,0,0,0,0,0,0,0,0
93,1762968067557,0,0,0,0,0,0,0,0
94,1762968067681,0,0,0,3.31,0,0,0,0
95,1762968067791,0,0,0,0,0,0,0,0
96,1762968067875,0,0,0,0,0,0,0,0
97,1762968068091,0,0,0,0,0,0,0,0
98,1762968068225,0,0,0,0,0,0,0,0
99,1762968068341,0,0,0,0,0,0,0,0
100,1762968068442,0,0,0,0,0,0,0,0
